Country,Data
United Republic of Tanzania,50
Western Sahara,54
Democratic Republic of the Congo,74
Somalia,100
Kenya,64
Sudan,67
Chad,51
South Africa,84
Lesotho,37
Zimbabwe,47
Botswana,1
Namibia,72
Senegal,52
Mali,11
Mauritania,90
Benin,5
Niger,3
Nigeria,28
Cameroon,83
Togo,20
Ghana,66
Ivory Coast,46
Guinea,31
Guinea-Bissau,39
Liberia,68
Sierra Leone,62
Burkina Faso,80
Central African Republic,65
Republic of the Congo,33
Gabon,94
Equatorial Guinea,97
Zambia,16
Malawi,63
Mozambique,71
eSwatini,61
Angola,78
Burundi,69
Madagascar,23
Gambia,60
Tunisia,9
Algeria,87
Eritrea,24
Morocco,41
Egypt,10
Libya,92
Ethiopia,19
Djibouti,81
Somaliland,14
Uganda,12
Rwanda,91
South Sudan,35
