Country,Data
Russia,30
Norway,19
France,1
Sweden,52
Belarus,50
Ukraine,35
Poland,59
Austria,99
Hungary,6
Moldova,74
Romania,14
Lithuania,45
Latvia,40
Estonia,90
Germany,22
Bulgaria,44
Greece,78
Albania,94
Croatia,16
Switzerland,76
Luxembourg,82
Belgium,69
Netherlands,62
Portugal,58
Spain,5
Ireland,33
Italy,85
Denmark,46
United Kingdom,51
Iceland,4
Slovenia,34
Finland,86
Slovakia,81
Czechia,47
Bosnia and Herzegovina,63
North Macedonia,29
Republic of Serbia,98
Montenegro,91
Kosovo,79
