,D1_rep1,D1_rep2,D2_rep1,D2_rep2,D3_rep1,D3_rep2,D4_rep1,D4_rep2,D5_rep1,D5_rep2,D6_rep1,D6_rep2,D7_rep1,D7_rep2,D8_rep1,D8_rep2,D9_rep1,D9_rep2,D10_rep1,D10_rep2,D11_rep1,D11_rep2,D12_rep1,D12_rep2
otu_1,10.9526,13.9582,17.1383,17.5966,23.3082,22.4463,18.9452,23.0563,17.2306,19.1326,13.8531,17.4812,13.0289,12.393,14.7811,16.5689,19.5996,20.9785,16.8754,17.2016,17.227,16.6449,13.5746,15.8278
otu_2,20.6816,22.9537,18.0114,17.5278,16.2975,15.7348,17.3254,16.8235,20.6181,20.5266,21.4282,23.6887,21.9394,19.9164,17.6132,21.788,16.002,15.6644,16.0038,17.8254,18.5719,21.1069,18.224,18.913
otu_3,6.76799,7.26223,2.09723,2.07894,0.978889,1.01441,2.21349,3.50094,2.18688,2.3045,3.67245,5.16409,11.3059,8.9696,1.41173,3.47099,2.87526,2.18247,4.29293,4.35408,3.44092,2.40063,5.50131,2.33087
otu_4,4.76395,5.32303,0.414103,0.700663,0.593739,0.546564,0.329799,1.00507,1.61269,0.916929,6.60267,5.23314,8.92668,6.81238,1.37384,0.824556,0.403676,0.325064,2.10658,1.65709,0.669527,0.847174,4.66511,4.29784
otu_5,88.2762,114.965,185.793,152.982,234.299,218.82,186.274,239.931,160.418,152.482,84.268,83.8957,82.8007,88.9065,185.669,152.104,206.427,202.797,159.378,190.942,159.287,168.431,84.0631,95.0459
otu_6,10.6576,12.4659,6.19,4.6993,15.0533,17.6989,12.9185,13.1203,12.0188,10.9992,9.37516,7.93455,10.2853,9.08246,6.43228,4.43788,10.8878,10.0878,10.4421,10.5709,9.45132,10.1628,6.66299,9.49322
otu_7,6.72418,7.2044,5.38943,3.66804,6.35382,4.96488,6.85946,5.96072,3.77077,2.40886,2.76445,3.86852,4.74555,5.77483,3.71056,6.13103,6.64888,9.23311,13.4752,11.0467,4.47927,3.80449,5.29444,3.47579
otu_8,10.9944,18.8811,5.64788,6.59632,12.0419,12.2747,9.79644,15.6194,17.4556,13.2559,13.9918,22.6871,11.2921,13.37,4.09791,11.6543,13.8769,4.89361,6.97754,14.7767,23.0628,22.9727,22.3588,20.5116
otu_9,18.6528,20.0735,17.9917,17.1535,17.6189,16.9818,19.1439,21.3146,15.7043,18.8419,14.3128,16.9481,11.4649,16.2176,13.0908,17.9201,15.8219,17.4377,17.7768,20.3739,11.1875,13.7309,11.9638,11.8462
otu_10,63.4891,78.1167,36.0744,45.1815,57.1665,65.1073,55.4046,66.9115,63.6817,66.7638,54.4412,69.4394,54.9768,64.0477,38.8194,47.4813,45.5372,57.2087,59.2011,59.6466,64.5,70.0464,58.0848,59.4258
