cluster_name,VOJ001,VOJ002,VOJ003,VOJ004,VOJ005,VOJ006,VOJ007,VOJ008,VOJ009,VOJ010,VOJ011,VOJ012
CL00000000002,2.631578947,1.201574477,3.267766497,2.083333333,2.309468822,3.299203641,1.25879304,0.214638334,0.989621048,1.860602481,2.62178346,2.098849018
CL00000000003,2.855543113,0.248601616,3.585025381,1.511437908,3.608545035,1.080773606,0.074046649,0.279029835,1.013758146,0.236266982,2.201003399,0.812457684
CL00000000004,2.239641657,0.124300808,2.823604061,1.715686275,4.474595843,0.938566553,0.074046649,0.407812835,2.46198407,1.594802126,1.003398608,4.096140826
CL00000000005,1.287793953,0.227884815,1.015228426,0.551470588,0,0.597269625,0.333209922,0.386349002,1.68959691,0.502067336,0.242757728,2.538930264
CL00000000008,1.651735722,0.041433603,0.793147208,0.204248366,0.202078522,0.711035267,0.018511662,0.085855334,0.844798455,0.059066745,0.145654637,0.914014895
CL00000000009,0.587905935,0,2.633248731,1.062091503,1.703233256,0.767918089,0.148093299,0.042927667,1.786145305,0.265800354,0.517883153,2.708192282
CL00000000011,0.895856663,0.103584007,4.441624365,1.307189542,1.01039261,0.540386803,0.037023325,0.321957502,2.630943761,0.472533963,0.776824729,1.760324983
CL00000000013,0.867861142,0.62150404,1.110406091,0.89869281,0.692840647,2.104664391,4.590892262,0.107319167,0.024137099,0.561134082,0.776824729,0.101557211
CL00000000014,0.083986562,0.062150404,0.095177665,0,0.057736721,0.625711035,0.666419845,6.804035201,0.072411296,0.177200236,0.55025085,0.067704807
CL00000000015,0.419932811,0,0.095177665,0.265522876,0,0,0.037023325,0.257566001,1.158580739,0,0.048551546,0.372376439
