id,sample,tree,year,pH,n,c
16376_2,VOJ001,JD,2008,4.45,0.48,44.76
16292_1,VOJ002,BK,2008,4.95,0.226,47.09
16302_1,VOJ003,BK,1997,3.85,0.275,47.15
16403_3,VOJ004,SM,2013,4.17,0.12,49.43
16405_2,VOJ005,SM,2013,4,0.134,53.33
16926_1,VOJ006,BK,2013,4.97,0.505,47.09
16919_1,VOJ007,BK,2013,5.42,0.21,46.25
16322_1,VOJ008,BK,2013,5.95,0.136,45.05
16259_1,VOJ009,JD,1997,3.45,0.17,50.09
16161_1,VOJ010,SM,2008,4.37,0.074,50.57
16124_1,VOJ011,SM,2008,4.17,0.085,51.11
16002_1,VOJ012,SM,1997,4.55,0.234,43.49
