,sample_id,type
SRR6450951,SRR6450951,disease
SRR6450978,SRR6450978,disease
SRR6450960,SRR6450960,disease
SRR6450957,SRR6450957,disease
SRR6450980,SRR6450980,disease
SRR6450948,SRR6450948,disease
SRR6450953,SRR6450953,disease
SRR6450959,SRR6450959,disease
SRR6450975,SRR6450975,disease
SRR6450977,SRR6450977,disease
SRR6450981,SRR6450981,disease
SRR6450955,SRR6450955,disease
SRR6450958,SRR6450958,disease
SRR6450972,SRR6450972,disease
SRR6450947,SRR6450947,disease
SRR6450971,SRR6450971,disease
SRR6450973,SRR6450973,disease
SRR6450954,SRR6450954,disease
SRR6450961,SRR6450961,disease
SRR6450952,SRR6450952,disease
SRR6450950,SRR6450950,disease
SRR6450949,SRR6450949,disease
SRR6450956,SRR6450956,disease
SRR6450976,SRR6450976,disease
SRR6450979,SRR6450979,disease
SRR6450974,SRR6450974,disease
SRR2672238,SRR2672238,disease
SRR2672239,SRR2672239,disease
SRR2672242,SRR2672242,disease
SRR2672244,SRR2672244,disease
SRR2672255,SRR2672255,disease
SRR2672260,SRR2672260,disease
SRR2672261,SRR2672261,disease
SRR2672262,SRR2672262,disease
SRR2672263,SRR2672263,disease
SRR2672243,SRR2672243,disease
SRR2672257,SRR2672257,disease
SRR2672259,SRR2672259,disease
SRR2672235,SRR2672235,disease
SRR2672237,SRR2672237,disease
SRR2672240,SRR2672240,disease
SRR2672264,SRR2672264,disease
SRR2672236,SRR2672236,disease
SRR2672241,SRR2672241,disease
SRR2672258,SRR2672258,disease
SRR2672256,SRR2672256,disease
SRR1562318,SRR1562318,disease
SRR1562312,SRR1562312,disease
SRR1562300,SRR1562300,disease
SRR1562314,SRR1562314,disease
SRR1562316,SRR1562316,disease
SRR1562326,SRR1562326,disease
SRR1562290,SRR1562290,disease
SRR1562311,SRR1562311,disease
SRR1562288,SRR1562288,disease
SRR1562303,SRR1562303,disease
SRR1562302,SRR1562302,disease
SRR1562305,SRR1562305,disease
SRR1562293,SRR1562293,disease
SRR1562307,SRR1562307,disease
SRR1562309,SRR1562309,disease
SRR1562322,SRR1562322,disease
SRR1562323,SRR1562323,disease
SRR1562328,SRR1562328,disease
SRR1562292,SRR1562292,disease
SRR1562320,SRR1562320,disease
SRR1562289,SRR1562289,disease
SRR6450965,SRR6450965,healthy
SRR6450967,SRR6450967,healthy
SRR6450968,SRR6450968,healthy
SRR6450963,SRR6450963,healthy
SRR6450964,SRR6450964,healthy
SRR6450962,SRR6450962,healthy
SRR6450966,SRR6450966,healthy
SRR6450969,SRR6450969,healthy
SRR6450970,SRR6450970,healthy
SRR2672245,SRR2672245,healthy
SRR2672246,SRR2672246,healthy
SRR2672250,SRR2672250,healthy
SRR2672254,SRR2672254,healthy
SRR2672253,SRR2672253,healthy
SRR2672247,SRR2672247,healthy
SRR2672251,SRR2672251,healthy
SRR2672249,SRR2672249,healthy
SRR2672252,SRR2672252,healthy
SRR2672248,SRR2672248,healthy
SRR1562335,SRR1562335,healthy
SRR1562291,SRR1562291,healthy
SRR1562301,SRR1562301,healthy
SRR1562306,SRR1562306,healthy
SRR1562336,SRR1562336,healthy
SRR1562340,SRR1562340,healthy
SRR1562341,SRR1562341,healthy
SRR1562308,SRR1562308,healthy
SRR1562294,SRR1562294,healthy
SRR1562330,SRR1562330,healthy
SRR1562334,SRR1562334,healthy
SRR1562343,SRR1562343,healthy
SRR1562344,SRR1562344,healthy
SRR1562304,SRR1562304,healthy
SRR1562325,SRR1562325,healthy
SRR1562297,SRR1562297,healthy
SRR1562295,SRR1562295,healthy
SRR1562296,SRR1562296,healthy
SRR1562310,SRR1562310,healthy
SRR1562333,SRR1562333,healthy
SRR1562313,SRR1562313,healthy
SRR1562319,SRR1562319,healthy
SRR1562299,SRR1562299,healthy
SRR1562338,SRR1562338,healthy
SRR1562339,SRR1562339,healthy
SRR1562329,SRR1562329,healthy
SRR1562332,SRR1562332,healthy
SRR1562298,SRR1562298,healthy
SRR1562315,SRR1562315,healthy
SRR1562324,SRR1562324,healthy
SRR1562327,SRR1562327,healthy
SRR1562331,SRR1562331,healthy
SRR1562342,SRR1562342,healthy
SRR1562317,SRR1562317,healthy
SRR1562337,SRR1562337,healthy
SRR1562321,SRR1562321,healthy
