	g__Acidaminococcus	g__Acinetobacter	g__Actinobacillus	g__Actinomyces	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allobaculum	g__Anaerostipes	g__Anaerotruncus	g__Atopobium	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Butyricicoccus	g__Butyricimonas	g__Candidatus Solibacter	g__Christensenella	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Cronobacter	g__Delftia	g__Desulfovibrio	g__Dialister	g__Dorea	g__Eggerthella	g__Eikenella	g__Enterobacter	g__Enterococcus	g__Erwinia	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Gemella	g__Granulicatella	g__Haemophilus	g__Holdemania	g__Kingella	g__Klebsiella	g__Lachnospira	g__Lactobacillus	g__Leptotrichia	g__Leuconostoc	g__Megamonas	g__Megasphaera	g__Mogibacterium	g__Morganella	g__Neisseria	g__Nitrosotalea	g__Odoribacter	g__Oribacterium	g__Oscillospira	g__Parabacteroides	g__Paraprevotella	g__Parvimonas	g__Peptostreptococcus	g__Phascolarctobacterium	g__Plesiomonas	g__Prevotella	g__Proteus	g__Pseudomonas	g__Pseudoramibacter_Eubacterium	g__Roseburia	g__Ruminococcus	g__Sarcina	g__Selenomonas	g__Serratia	g__Shigella	g__SMB53	g__Sphingomonas	g__Streptococcus	g__Sutterella	g__Turicibacter	g__Veillonella	g__Weissella	g__Zea
g__Acidaminococcus	1	0.112046734065804	-0.157512142004932	0.273491256550525	-0.152819815550072	0.0888624997636223	-0.0298769906483677	0.0490590918831006	-0.0974766371958576	-0.123411864493625	-0.11271659761207	0.297013453911077	0.417774113237087	0.012772200109697	0.0798960271569358	0.274578028303581	-0.0594747312950353	0.111229156540575	0.00353679902095653	0.223191179323876	0.257816753336778	0.0333984496912665	-0.061333584134923	-0.0400436006380501	0.236140117613991	0.0451894931165673	-0.0653367241963488	0.026331095308558	0.0448189588533791	-0.125676040786471	-0.283282784389363	-0.132803988480104	-0.19335611569251	-0.134737615368052	-0.458578104989307	0.0345024603555904	0.0120878207949151	-0.0622145587281382	-0.0485354624496252	-0.117630572831913	-0.339563788320779	0.118454063836808	-0.256718823558199	0.0429350937858511	0.0638616219824037	-0.155881183817115	0.0725846049921997	0.318472198019478	0.496495235252287	-0.0802025443684302	-0.12084907365545	0.320032714671336	0.257394367534134	-0.0554315263956711	0.040610984049462	-0.0160801757756941	0.161052320852947	-0.242565100313521	0.0243058659372049	-0.216250009287079	0.151402552187555	-0.12328165255994	0.365004052641101	-0.222956122448706	0.0746738216923509	0.0907096478162337	-0.0869546328722974	-0.00700886201559528	-0.0941396721731718	-0.173365965494037	0.00104851448455241	0.0715800760131497	-0.0290919543328147	0.246223013049912	-0.354458713687778	0.173913623967902	-0.128488827281112	-0.362980266398264	0.0553335668923856	0.0888406078204561
g__Acinetobacter	0.112046734065804	1	-0.34166725248905	0.422450061170872	-0.236292263172018	0.18187115399538	-0.0564300231987218	0.174506179149166	-0.163451954652312	-0.0380121904361124	0.189826598519226	-0.401564313241534	-0.0566291186933116	-0.258941923828105	0.00309696550556181	-0.191370107209213	-0.138583064642466	-0.0290752206349766	0.0393323846655962	-0.0358633642652153	-0.0770254703205781	-0.216981258993692	0.231130213641669	0.0925204509367547	0.548517463391966	-0.0934515549899839	-0.0541789915906243	0.105723868635306	-0.126537403854736	0.0431753987846006	-0.027227593561183	0.108536197551681	0.0815755555658381	0.307634479095948	0.151524279376959	-0.366945234265473	0.0178321202313003	0.460044756643453	0.300666431679526	-0.180781668140046	-0.267597507223414	0.39308447939593	-0.0931556784709984	-0.0714035088595454	0.0781418078479889	0.0659342611165303	0.192733402737601	-0.286730429460075	-0.118564392921986	0.0856719360513398	0.0598430483766667	0.237053552298286	-0.0427191061712182	-0.0800050845270756	0.0634434950141	-0.173417933314246	-0.208443772866719	0.135077464427673	-0.339134168268955	-0.0950657507003104	-0.250027005266438	0.122630652553823	-0.191567575815103	-0.185889106734314	0.640099421431197	0.0771099938233808	0.00168860991348281	0.0654458651635686	0.00687384134852959	0.0828491736475933	0.165720628652449	0.274251479459084	-0.269392391516465	0.563791439199702	0.361224163563444	-0.210406769551486	-0.171028836972229	-0.00986001172341186	0.362373680748695	0.396410828874812
g__Actinobacillus	-0.157512142004932	-0.34166725248905	1	-0.243597576298936	0.187782923912593	0.0413527379867597	0.121959649580293	0.00204089186279701	0.0451839188605581	0.0349422284848941	0.00268680991541527	0.207797151188455	0.0191986102455801	0.186715594553904	-0.00790740957624636	0.128944113449189	-0.0367203535621682	-0.171516997383539	-0.0257315478573025	-0.186337396452748	-0.133948082507417	-0.0973355645957913	-0.206472188315143	-0.120578971810229	-0.185449726501725	0.0474894085094215	-0.00243922268358203	0.13589921024902	0.293108516684559	0.358218693185564	-0.032126660754125	0.0199202140951865	-0.182913239380881	-0.196527338914809	0.245738494194913	0.341582210244565	0.0207078141586118	-0.00690718958312754	-0.192299324364234	0.19903874277562	0.223279507246302	-0.190464669872008	-0.111688529271011	0.105114392018588	-0.259784130049851	-0.102258864163605	-0.219172469951772	-0.0804938193493677	-0.163708097217843	-0.0130596240962803	0.158043615633481	-0.135940014006199	-0.148653179683145	0.0944788998357118	-0.0590413627246528	-0.0224542412291929	0.0844885518248839	-0.13482492337422	0.539620941007912	0.0829773739384997	0.196883261482302	-0.0800203921104148	0.0506739031788204	0.0569582868667682	-0.19613850514617	0.205060253092383	-0.106023980171817	0.0807088536482118	0.148593754119387	-0.165088950352056	-0.169730194099377	-0.160097154018716	0.374020010440194	-0.167773087603145	-0.267558968490088	0.200142721354275	0.238721620289568	-0.0866530653099825	-0.122775610745043	-0.118297384061451
g__Actinomyces	0.273491256550525	0.422450061170872	-0.243597576298936	1	-0.366716268022982	0.02932148147497	-0.0496737681203412	0.0986345409386489	-0.00907591560488123	-0.365290481322626	0.486409593142696	-0.291097693474956	0.211106382864398	-0.338116863848018	-0.223159827425624	0.101463317523898	-0.254729646072008	0.0463940340523918	-0.0687252827871082	-0.0460349160024612	-0.0982974275268743	-0.362771039030797	0.265396309104533	-0.338418628415628	0.384218367530413	-0.0931008190179821	0.21477104868091	0.0149454945519249	-0.0685467010847166	-0.228603188648162	-0.279850263709042	0.277853961450876	-0.175911791454036	0.170811569954592	0.0791177655383872	-0.0743671903386777	0.0240496529082947	0.230466078160202	0.432066732009311	-0.145710616863179	-0.289427077657498	0.205283277123605	-0.269495717293926	0.00369581850304062	0.0747939521095747	0.0306069236486671	0.184508500846336	-0.227366628005448	-0.0913337511847444	0.295087826062687	0.283556698374692	0.17793143927121	0.153871171595904	-0.325335374570545	0.200324568695341	-0.16584674304623	-0.290350882811773	-0.312820976956583	-0.096007566951943	0.00207488238144234	-0.413413779890331	-0.320324482716884	-0.179641057926728	-0.110853378359154	0.295550493427641	0.100415958783409	-0.0917150293128062	0.33329367634504	0.101714382826309	-0.170395999945926	0.204510408836807	0.440097766229915	0.142238202472773	0.404845087004645	0.318739165245077	-0.143098660516424	0.128398079604671	-0.0461958067487973	0.409631160100656	0.417061498074639
g__Aggregatibacter	-0.152819815550072	-0.236292263172018	0.187782923912593	-0.366716268022982	1	-0.202349873928035	0.237778755651607	-0.161904748153249	-0.269039458544461	0.229689988254255	-0.283591551419548	0.217286312703243	-0.233408363536684	0.364714328027674	-0.0520107523355502	-0.173583579493885	0.275988534869916	0.113766794385503	-0.152551700550709	-0.201938032688268	-0.274959118391092	-0.0396160247362047	-0.0816836773507267	0.217375115692429	-0.292814264828757	-0.229268395169033	-0.137865597281509	-0.0461941601081013	0.38385623181481	0.544001459694574	0.232618930718189	-0.226580408865838	0.0840064274026287	-0.105841309564662	-0.209930230091709	0.125506936077483	0.17283865206565	0.10298730480571	-0.0730304661170386	0.393977531952159	0.30785230414583	0.0149236820853645	0.214230475810026	-0.238965256938171	-0.226567942436018	-0.138793638300662	-0.217779282380864	0.00262846509870522	-0.119491003646342	-0.0537598890724093	-0.109128963610421	-0.0977600057822362	-0.160289606754955	0.473520443146522	0.29938545265194	0.138200824531558	0.110791914656014	0.0745459031785944	0.59761298030048	0.387156732909954	0.37006885693527	0.227025479269476	-0.191619357083759	0.0816104687964901	-0.1369075934666	0.183945578777718	-0.312272627499111	-0.285436449714375	-0.00693975097334345	0.127378240455167	-0.276709866372612	-0.207846818795005	0.0468563624195461	-0.350755358657686	-0.180689844177545	0.246177485346227	0.0494230803037622	0.0959688217190879	-0.227359149264786	-0.183880685611001
g__Akkermansia	0.0888624997636223	0.18187115399538	0.0413527379867597	0.02932148147497	-0.202349873928035	1	-0.21624825097939	-0.0694323496454617	0.180233175241656	-0.254287037885949	0.16361917697415	-0.217224633538895	0.044497183852157	-0.288075855059631	0.297239279402134	0.151073182756883	-0.205459409901446	-0.107506441138071	-0.185251817183369	0.201290425154393	-0.213664214825712	0.15235682405489	0.29258568871828	-0.0650143954615015	0.0839326751559161	0.0754858089457098	0.0890925315564324	0.0965094521495791	-0.0887159014718671	-0.181827174646852	0.285896338321979	0.139316154297085	0.401461045948217	0.201501360811701	0.254740814567825	-0.0550347702112083	0.267658115906605	0.169061861961347	0.035580812796371	0.0789913393159215	-0.358827603110738	-0.13096622845519	0.198670115298636	0.0376022231126957	-0.220655624753364	0.180678289426917	-0.112734542171539	0.100090044431119	-0.0907736599327915	0.0548078539218576	-0.221242521635633	0.249578204518447	0.104244845441808	-0.308781580218079	-0.0367380897860724	0.03629718463811	-0.458698513022357	-0.0350204355771988	-0.158168343557638	-0.283924103282158	-0.304107569886999	-0.158534657199727	0.0854309289234135	-0.229130702716148	-0.201995322743963	-0.164986068189959	0.130832425296734	-0.149592713509781	0.440428639897644	-0.137518287524353	0.0855309787788695	-0.0300024591150724	0.011006774329402	-0.0407092114177254	0.164326150898189	-0.0698649919796927	0.204222721733412	0.103920453475239	0.17955917943553	0.294498073305076
g__Alistipes	-0.0298769906483677	-0.0564300231987218	0.121959649580293	-0.0496737681203412	0.237778755651607	-0.21624825097939	1	-0.265182074239924	-0.0307270939079874	0.512996621134645	-0.128519208417385	-0.0443667555415176	0.0167060237066018	0.420109767921223	0.167958607732333	-0.268894060941529	0.446057544498988	-0.191623685183684	0.517846098126347	-0.216330987260239	0.035151471189857	0.165137060843149	0.00835689777961508	-0.305821534963294	0.16350117370716	-0.128539270868631	-0.269199338008886	0.107818488058403	0.135532894389318	0.0345386598006635	-0.181208181373401	-0.270203342333126	-0.211386939553316	-0.300613063853139	0.166762706637153	0.306675296061047	-0.203341434449382	0.0836036307318307	0.160873909256743	-0.337981814444608	0.481459307891556	-0.266777105052142	-0.233609802507857	-0.0360705577927359	-0.219387251419724	-0.114692803725542	0.113859418810314	0.0122578944760198	-0.155290906214714	0.0560048714783607	-0.278941089475726	-0.134703294332109	-0.377364694869138	0.437367982162607	0.309637715337175	0.196769388503841	0.134942941383842	0.530792125893079	0.401464347922549	0.150192833928506	0.309542810827682	-0.161539921352763	-0.00232616701722514	-0.231194556651267	0.025855809637298	0.317732192069602	-0.109073566279432	0.20963496366435	-0.236514751186086	-0.221725538600999	-0.350868797677296	-0.216413628833133	-0.0089450079186836	0.0899805223700668	0.136808079698659	0.0888818341583574	-0.111390349700638	-0.553801379534383	-0.16080795486928	-0.127561590170877
g__Allobaculum	0.0490590918831006	0.174506179149166	0.00204089186279701	0.0986345409386489	-0.161904748153249	-0.0694323496454617	-0.265182074239924	1	-0.161794205525075	-0.23382834213459	0.167738462540706	-0.150746812529701	-0.203639906340384	-0.0652667996886632	-0.110061398131504	-0.084873328492223	-0.360716517929219	-0.112010415782618	-0.140657414328862	-0.0898004397319403	-0.14198648411275	-0.180904226671414	-0.102271516304512	-0.0731659189890923	0.0146065459345496	0.171950539357876	0.174198492235106	-0.246089441834091	-0.258617620363568	-0.129306853744778	-0.0202042766501341	0.191847630912252	-0.0714881795897962	0.203627713439598	-0.170421912865137	-0.264650485700427	-0.0169017197911077	0.206615531240664	0.314827370263025	0.234798921525685	-0.325967974933363	0.170692198609612	0.0650289955006931	0.00490568676050185	0.269901254088957	0.26002755918202	0.124419511843683	0.0799122068907544	0.228555543247825	-0.118986112116345	0.451070779447467	0.167268577348729	0.205698507792204	-0.0462987226703045	0.0156713429118632	-0.215014298288044	-0.0881732993980109	-0.154767855716249	-0.115730837351086	0.0112558792275467	-0.0870173377497806	-0.0668856770156056	-0.072698123958873	0.0640420923744548	0.198988165928009	-0.110308204836857	0.00565846707769129	-0.235325028880015	0.0312924151429467	0.0780185704269443	0.299693243367915	0.323777409771715	-0.152652910368102	0.212312265139353	0.0911445346772844	0.0434427155626139	-0.0102414267724872	0.194475424415094	0.226501252920468	0.107249749199291
g__Anaerostipes	-0.0974766371958576	-0.163451954652312	0.0451839188605581	-0.00907591560488123	-0.269039458544461	0.180233175241656	-0.0307270939079874	-0.161794205525075	1	0.113345616869707	-0.0789773441119378	-0.160495356912261	0.101183007770115	-0.187391678442769	0.166045727544543	0.0502172324617995	0.178355071047026	-0.032536124019594	0.163633774163109	0.0405001682127112	0.320662098250371	0.429493596051336	0.137219484676535	-0.179313303732776	-0.0800953238405163	0.0414934651340539	0.0622532898674039	-0.0904908621233739	-0.205746202679188	-0.357209850131857	0.152399887424922	0.256657104225091	0.288869470523895	0.025381511284593	0.0711158502766433	0.254871731080237	0.0159739511597194	-0.225289791371798	-0.185140368948195	-0.145236827611211	0.0947137307511956	-0.265890524499906	0.259798676395025	0.380388560952159	-0.0514223311834016	-0.216143708643032	-0.260140737668589	-0.041787115774774	-0.022020124534375	-0.20280216140454	-0.20819765264491	-0.105493899867664	-0.0741611026759826	-0.220797941187631	-0.404053500832864	0.25900795876909	-0.309115773582824	0.0928742549995162	-0.256720245704902	-0.0950113664945096	-0.114588771356481	-0.0491505566681298	-0.074979036252127	0.127869316865682	-0.0864029059124657	-0.188872114597715	0.533515292972929	0.234884897623485	0.134738024424176	-0.214359641184399	0.0754173457696511	-0.236441481114016	0.169208364694713	-0.111042569737341	-0.249993695745847	0.0742951070879036	0.213062449136857	-0.0117454571583156	-0.102593731293737	-0.0016222793626447
g__Anaerotruncus	-0.123411864493625	-0.0380121904361124	0.0349422284848941	-0.365290481322626	0.229689988254255	-0.254287037885949	0.512996621134645	-0.23382834213459	0.113345616869707	1	-0.447070344053604	0.0350572253925171	0.0640030518452075	0.170324960254051	0.255689151964234	-0.154165006550322	0.409643806318021	0.0715814813583035	0.555433125039848	-0.223834621393518	0.172744531568653	0.395905501639371	-0.115381985237627	0.167489660941347	-0.0619043346859963	-0.244763200633828	-0.31827294269474	0.120779854328395	0.084553147444205	0.206131554022501	-0.0934230080563109	-0.151392861468659	0.0598754704456657	-0.101399572731409	0.26503653299328	0.173424935352505	-0.188861111232171	-0.169575228063176	-0.233220039845997	-0.186313848071782	0.427154303339359	-0.0287233032761858	-0.0856412161643724	0.198276326935214	-0.000171933461195668	-0.145016449779412	0.0170217953022267	-0.2794858823099	-0.32136953326223	-0.352147137431149	-0.28583101278914	-0.246992401082317	-0.239433572593604	0.453646795918721	-0.23487350119533	0.305888911551051	0.0329368703102846	0.409985040589123	0.119835690697934	-0.0195409717914516	0.430900501837472	0.204451478803412	0.0554719399670696	-0.0423620684321916	0.120234183808309	0.218187015251126	0.246910932345568	0.0874876928719238	-0.363710657908699	0.0238575671893678	-0.247467619702332	-0.243774633821807	-0.0684352329636722	-0.0889715810509688	-0.182150516247636	0.241003019638139	-0.188684381641521	-0.319056493718728	-0.239897302110174	-0.247777696398709
