	g__Acidaminococcus	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Caloramator	g__Campylobacter	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Haemophilus	g__Lachnospira	g__Lactobacillus	g__Methylobacterium	g__Micrococcus	g__Morganella	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Streptococcus	g__Sutterella	g__Veillonella	g__Weissella
g__Acidaminococcus	1	-0.406080182605011	-0.461979639758003	-0.278696683961296	0.0669145608845798	-0.123832128064305	0.114399375903473	-0.177716728742143	-0.135987670601858	0.0780089658382199	-0.0428128957838325	-0.465098942557299	-0.156831268015838	0.27797135268984	0.48092158827987	0.191124990455376	0.0699778990687299	0.105593616256769	-0.182404716945022	0.177059298768586	0.222235871177457	-0.0750134605263525	0.270238598613729	-0.0255695382101141	0.393972689046298	0.0957940568723938	0.00596796507042306	-0.0486607252666156	0.212421970471167	0.0850818534995273	-0.309551688780113	0.0531135327031916	-0.21041006896378	0.00613290645747283	-0.306310413801101	0.231198707482601	-0.277599326052454	-0.169155326990883	-0.301715362448642	0.248420182882357	-0.156000279627917	0.0717281790097663	-0.156070335399762	0.026212484634271	0.10169440120195	0.0541062692480717
g__Acinetobacter	-0.406080182605011	1	0.163689656834944	0.211774291545217	0.083391191113688	-0.0598548949325048	-0.0892889278895265	-0.0841893093625101	-0.0402329083445109	0.272218514355372	-0.0608511954940284	0.324068730506498	-0.236161927860591	-0.163854827418137	-0.0249615048490917	-0.20432197090688	0.0291237205435407	-0.303684290512363	0.148647167869402	-0.294699766141818	-0.0874662095562731	0.00814039990001399	-0.095514486602194	0.205137807424988	-0.381256914517999	-0.236499189388077	-0.259929162077323	0.265703386733763	0.24674648495926	0.0640613438849649	0.0607212938862676	0.122817500043742	0.144647201648619	0.212095070151213	0.407856369408173	-0.213536623235878	0.0457427377113993	0.0972004717848823	0.257299655908427	0.0066671408599125	-0.111220956858573	0.0709694933826721	-0.299380148157206	0.324738445750039	0.0571092239397117	-0.0969788348400025
g__Afipia	-0.461979639758003	0.163689656834944	1	0.123791915855161	0.0300300387042963	0.503869861514112	-0.590218865423242	0.0251448133659094	-0.255336809934462	-0.00250683550716273	0.410232085463277	0.309686545556257	0.030962560325738	-0.246138197170321	-0.200517476178471	-0.142342123122807	-0.0905803641218754	-0.0338273189586777	0.0891440382672258	-0.192680795551157	-0.497601051462028	-0.157518241387901	0.0655590617438459	0.0540110467704432	-0.390849574349128	0.0588997160301229	0.497851128363307	0.0449979609670281	-0.32915425087941	-0.17694347940189	0.286968987810257	-0.189765688367289	-0.242258501951663	0.02562407845327	0.376083253059067	-0.0198578726096674	0.447865291656446	-0.090804391175752	0.133373772892426	-0.109484659610526	-0.120919507873411	0.124264131282557	0.471180969183526	0.165919606354363	-0.00423617881260848	0.0465844984289399
g__Akkermansia	-0.278696683961296	0.211774291545217	0.123791915855161	1	0.124665116914087	0.0125543247678596	0.00565916347360907	-0.134454814082581	0.0403211064953713	0.0550114615418834	-0.0538348332375387	0.283329959626072	-0.122401911093474	0.0772132448073697	-0.121552305102692	-0.137168393570488	-0.0874981542088538	-0.448988643913119	0.0569998046159963	0.132411920439516	0.0403154689209059	0.0364793200051356	-0.211147098952103	-0.206102675653024	-0.411972022253471	-0.105749466461427	-0.0387740017331842	0.0941116012819918	0.0192018834596747	-0.0809270660217686	0.384020392278214	0.268701761822438	0.201565148080071	0.55624786846039	0.0715983163796749	-0.459946845422068	0.210806306467095	0.0687974316734976	0.590682769269112	-0.252433420435098	-0.0527055783070689	0.159300116128334	-0.0456325117567765	0.345089456109661	-0.135451766601875	0.013547968108321
g__Anaerostipes	0.0669145608845798	0.083391191113688	0.0300300387042963	0.124665116914087	1	-0.284691134992602	0.407555766402017	-0.254090780134033	0.202943758138065	-0.168241893916389	-0.51799193859808	-0.361817330719089	0.359869405336981	0.147122004836973	0.236792131559557	0.385409400928264	0.10448157676057	-0.196369052743254	0.334956913094966	-0.170392525463874	0.174941304168447	-0.439568988360654	0.184958642553707	0.27245366106486	0.320105367706486	-0.295452456193363	-0.215671878388754	-0.301441115196301	-0.0592955738023275	0.327930898718012	-0.022282788983447	0.102796170665286	0.354736312088106	0.589025304023301	-0.242882468481646	0.0296237030905476	-0.500429881483477	-0.189111817767866	-0.213372478817029	0.519645899423498	0.178687439271361	-0.388136560084863	-0.0803407574739301	0.185586410402897	0.112973592089817	-0.301998279632993
g__Bacillus	-0.123832128064305	-0.0598548949325048	0.503869861514112	0.0125543247678596	-0.284691134992602	1	-0.45198682091502	0.169306539213655	-0.096804278015941	0.0197474212017899	0.492606304549577	0.277760417934422	0.0751487895544709	-0.0135937298561863	-0.183847627293113	-0.241243477298036	-0.0797105281464412	0.315203760842705	-0.206133495343635	-0.00661152622783785	-0.341454422995086	-0.0771911471999734	0.158383634827717	0.0160400404255692	-0.166294931038692	0.163012385797386	0.508841123366313	0.00394977956186695	-0.273611898993704	-0.134482270344214	0.166549013377739	-0.133645172514742	-0.320372708349184	-0.398167900757318	0.357044401548365	0.0307853960941633	0.31174015131789	-0.15782032573156	0.0513823499993163	-0.270248949703522	-0.016921869566952	0.20719434019836	0.254429509196561	-0.240121902870185	-0.0736640998959071	0.100965515658061
g__Bacteroides	0.114399375903473	-0.0892889278895265	-0.590218865423242	0.00565916347360907	0.407555766402017	-0.45198682091502	1	-0.370972819469525	0.667074908090887	-0.0402979956950563	-0.466218662220247	-0.370649890158914	0.205965830743265	0.311811370956002	0.0531025824355023	0.419203335567404	0.250048627218794	-0.0801210149803784	0.372130214604473	0.407777323598092	0.680843270621198	-0.0491974060807175	-0.0495989711504294	0.0666893779587709	0.400703855070394	-0.184124641272674	-0.444497754565086	-0.388650953747326	0.196553575647051	0.201508475829793	0.029048285018614	0.0419532263593991	0.356960326792001	0.296170121035913	-0.325502166754927	-0.0367949806313661	-0.552453642017582	0.27413762665326	-0.195078863282968	0.305967309736635	0.660882569251459	-0.122274445603735	-0.406368061756599	-0.00265374026367392	0.0494706380909331	-0.357061679669474
g__Bifidobacterium	-0.177716728742143	-0.0841893093625101	0.0251448133659094	-0.134454814082581	-0.254090780134033	0.169306539213655	-0.370972819469525	1	-0.168799136611789	0.077774674462452	0.130880316308054	0.131524460653151	0.126320905160533	-0.146250699345154	-0.268178301613265	-0.0645745709463416	-0.152539243131259	0.350176377451303	-0.0973419505292625	-0.252059121996732	-0.209369163580488	0.0738158386133471	0.140562654274916	-0.036023312256901	0.195726990750715	0.115940798751951	0.0182665073585487	0.43791265047216	-0.0733026582701337	-0.290886593157782	-0.17295755092249	0.0770277157998065	-0.0124216115053159	-0.453639712761235	0.237661136853858	0.462739073871988	0.200823272853307	0.0387055563444058	0.140824458700829	-0.139690466616794	-0.308702962606957	-0.00946643105272107	0.19042998401611	-0.282337044632805	0.0861525362424038	0.463874469322695
g__Blautia	-0.135987670601858	-0.0402329083445109	-0.255336809934462	0.0403211064953713	0.202943758138065	-0.096804278015941	0.667074908090887	-0.168799136611789	1	-0.167108516169705	-0.217386590452605	-0.324460300891069	0.038788207911018	0.214860641676246	-0.0398758004286084	0.334554455091006	-0.0492787753573052	0.0464148500355257	0.264311715320975	0.144106074190738	0.456202285116835	-0.0777303891639427	-0.0879978787651494	-0.0509878004376484	0.281668391067481	-0.0297721570539561	-0.230185321496843	-0.231935916099182	-0.32027167668426	0.127656373404579	0.0779074266839722	0.0922686486546861	0.122067236091996	0.162496340749764	-0.149529311925022	0.0788462717347561	-0.296437567131993	-0.0516891686781514	-0.0726845072456414	0.227992040926488	0.832282837122927	-0.211370982146561	-0.0783988830581679	-0.0131703144598522	0.164619325696033	-0.366670678527145
g__Bosea	0.0780089658382199	0.272218514355372	-0.00250683550716273	0.0550114615418834	-0.168241893916389	0.0197474212017899	-0.0402979956950563	0.077774674462452	-0.167108516169705	1	0.27605684116874	0.242235971696295	-0.145317071592164	-0.25411854495504	-0.0788901772446717	-0.502237184260924	0.256534335590922	-0.258121916232017	-0.107375507003608	-0.00147906501452107	0.188245379799579	-0.0164686670662313	0.012756377243146	0.0880822956236176	-0.250705630861506	-0.166521775389937	-0.262087895062418	0.304071330489988	0.203004043435587	-0.105726737968752	-0.235724404987111	0.264233018994257	-0.126793209975042	-0.148679983806514	0.351092840958988	-0.193140444187515	0.0138523765151643	0.390198651823277	0.110732206832978	-0.322644050600104	-0.0842924418010398	0.173698209585595	-0.244700230732379	0.126998379833817	0.155676515335589	0.436080050166274
g__Bradyrhizobium	-0.0428128957838325	-0.0608511954940284	0.410232085463277	-0.0538348332375387	-0.51799193859808	0.492606304549577	-0.466218662220247	0.130880316308054	-0.217386590452605	0.27605684116874	1	0.417893248297506	-0.141341158051287	-0.223487572478697	-0.223241056649665	-0.413119379721303	0.0443359542389906	0.0912030764147696	-0.357150547143864	0.231751966299015	-0.225897078952883	-0.0355403677752064	0.0356360944087015	0.138213006872471	-0.402991517167855	0.354922214286398	0.45979712015583	0.070098731028901	-0.0535281810043468	-0.198976486495543	0.143265622382002	0.128382213124736	-0.503704953498835	-0.369788216849065	0.475142495591209	-0.0374774180931002	0.401864148783529	-0.121344377049303	0.172593398145636	-0.386298565177879	0.0361327293150083	0.297756163918551	0.234940530294988	-0.159894872316339	0.0404732712175124	0.136974711644188
g__Caloramator	-0.465098942557299	0.324068730506498	0.309686545556257	0.283329959626072	-0.361817330719089	0.277760417934422	-0.370649890158914	0.131524460653151	-0.324460300891069	0.242235971696295	0.417893248297506	1	0.0801982154155789	-0.370457359134604	-0.280263053527611	-0.399561575172608	0.288723947686584	-0.27768130056014	-0.234777818655165	-0.121088448532987	-0.0783246490293076	0.0274323195259349	-0.205404891150007	0.141151727362916	-0.480400560093976	-0.285721532797267	0.155661213134781	0.257178968428758	0.273284798615761	-0.096671960961363	0.280129594091346	-0.0289359331742236	-0.0759477903113831	-0.131581006281244	0.392211328185858	-0.304099398720282	0.477489711662047	0.343532033348547	0.516537067907094	-0.28827585306213	-0.205560829974096	0.15444534722997	0.0395812959751406	0.0696482798459364	-0.104564956503892	0.256530529505118
g__Campylobacter	-0.156831268015838	-0.236161927860591	0.030962560325738	-0.122401911093474	0.359869405336981	0.0751487895544709	0.205965830743265	0.126320905160533	0.038788207911018	-0.145317071592164	-0.141341158051287	0.0801982154155789	1	-0.148317150398448	-0.0307180474416541	0.171940413921438	0.244804080460548	0.257931262510596	-0.108199264271348	-0.0711460813276734	0.118347883346898	-0.369339080251863	0.16407342455764	0.0728067274438297	0.333988262494597	-0.233062147187899	0.164923731976467	-0.273975394821668	0.0118640122490941	0.0768526118024808	0.044517165948992	-0.124537155025013	0.207491372996749	-0.172262903782029	-0.192403252662218	0.200512281528187	-0.105064777858477	0.100417922285788	-0.173849333094433	0.370861611099044	0.117284725964266	-0.400271511829515	0.128005302316303	-0.4282155551445	-0.133418084593218	0.137843907178014
