	g__Bacteroides	g__Prevotella	g__Faecalibacterium	g__Megamonas	g__Ruminococcus	g__Clostridium	g__Roseburia	g__Blautia	g__Parabacteroides	g__Lachnospira	g__Sutterella	g__Coprococcus	g__Dialister	g__Oscillospira	g__Dorea	g__Phascolarctobacterium	g__Veillonella	g__Anaerostipes	g__Streptococcus	g__Eubacterium	g__Paraprevotella	g__Megasphaera	g__Haemophilus	g__Alistipes	g__Collinsella	g__Bifidobacterium	g__Butyricimonas	g__Fusobacterium	g__Odoribacter	g__Turicibacter	g__Bilophila	g__Lactobacillus	g__Sarcina	g__Acidaminococcus	g__Holdemania	g__Actinomyces	g__Acinetobacter	g__Eggerthella	g__Sphingomonas	g__Granulicatella	g__Klebsiella	g__Lachnobacterium	g__Oxalobacter	g__SMB53	g__Pseudomonas	g__Atopobium	g__Neisseria	g__Actinobacillus	g__Desulfovibrio	g__WAL_1855D	g__Escherichia	g__Delftia	g__Porphyromonas	g__Rhodoplanes	g__Morganella	g__Parvimonas	g__Nitrosotalea	g__Microbacterium
g__Bacteroides	1	-0.6514259104066	0.491556616895369	0.0237192223287921	0.000642709370843937	-0.557651054368208	0.317250400209568	0.19310956938513	0.708464562472142	-0.268013964089135	-0.0701856180544406	-0.445422607257103	0.248816694084217	0.175859163502509	-0.535881427296625	0.0881963065712636	0.0944318171850081	0.734224800297924	-0.295094676651673	0.1203330807315	0.000563902273360042	-0.149825096912888	-0.0889818515050746	0.383448309975475	-0.50096598824096	0.53999796972427	0.15619449395809	0.200218425896074	0.289429997694082	-0.594478517374173	0.697218264297897	-0.140012014674248	-0.0912631976167312	-0.0724866531679516	0.370351305863035	-0.293382888464493	0.0165347375848449	0.382669318261182	0.667525941603024	-0.241018411947622	-0.141022812351903	0.243754084303267	0.0455455904232438	-0.333392408860915	-0.641086953920241	-0.439001912136936	-0.154822703055848	0.461431006274604	-0.160951292108474	-0.454159994787099	-0.0138095055520595	0.288543839309133	0.185519015228202	-0.260986162562453	-0.180929196717507	0.10958292646018	0.0835854209286034	0.317816637334316
g__Prevotella	-0.6514259104066	1	-0.638604044573545	-0.442685605243349	-0.370945609348577	0.420935308006557	-0.238960328294096	-0.133449374839489	-0.378518587871028	0.279754563087024	-0.264577382277786	0.520160443580789	-0.314713289479144	0.276719232714621	0.300524819631234	0.397465396527436	-0.315907673172412	-0.711403649894946	-0.316994138886457	0.21837774223232	0.218366120379663	-0.0244557394248609	-0.350441109372843	0.0441508395467798	0.473193029943231	-0.811150033604778	0.35293206594715	-0.578745351565473	0.160373013179554	0.133744289256394	0.00933544107389092	-0.0194802002020884	-0.240936381820795	-0.164647029817396	0.0776206139153957	0.0794055903692063	-0.239163813091089	-0.112162369480574	-0.627486091169361	-0.117778499151165	0.257527175927943	0.122726563211618	0.542585222962779	-0.069637654016694	0.314966470324361	0.223481681010987	0.0499230526918079	-0.044999879540142	0.268972794766656	0.112904774449605	0.132774056597514	-0.39831655936579	-0.304203714268548	-0.0807275562520963	0.602448355166045	-0.332727366560664	0.50725896212535	-0.197229245581917
g__Faecalibacterium	0.491556616895369	-0.638604044573545	1	0.61554549885663	0.296108863568029	-0.375998208118169	0.803360972482522	-0.303275583371719	0.35506426349481	0.27642342100814	-0.488194692594408	-0.798576480579231	0.601670541523761	-0.281792759841577	0.177468553278998	-0.346672117256728	0.763520175574994	0.507942004513873	0.193638577500893	-0.40276470060492	-0.387008382121804	0.305173726690373	0.655961579725434	-0.300113370102621	-0.653574262195054	0.853009190663512	-0.452350686353803	0.479262187675961	-0.620256099508604	0.0736061536362588	0.0351090516709929	0.392735854788687	0.229331861036227	0.257106849930669	0.217912860853922	-0.140531057173638	-0.255361905573428	0.156240436921544	0.500716683591923	-0.0809682884033216	0.0476646687906001	-0.241742884274682	-0.449099604883277	0.359753527548659	-0.479513779969764	0.084777687237121	0.227780462123197	0.219916531085513	-0.358825408867162	-0.0619911341678776	0.281789502510809	0.0752189399910411	0.197513683851437	-0.0669485619378729	0.06642909892432	0.249731208877848	-0.056066648637196	0.303935719345746
g__Megamonas	0.0237192223287921	-0.442685605243349	0.61554549885663	1	0.814023727514745	-0.431551873005237	0.362956219740979	0.130920971769249	-0.385946783898577	0.452061113883987	0.0279223770942758	-0.135971782300492	0.326207575714219	-0.77199700211274	0.663128566813327	-0.369464389856515	0.745767149794351	0.275095943284043	0.666808514757325	-0.195341463392336	0.0600820988115027	0.197883900195807	0.746910602426234	-0.673178997106983	-0.379879735131391	0.696569407380734	-0.557070180400568	0.139368455206575	-0.666603533315893	0.366127664875091	-0.527587144210361	0.528275299645489	0.56007206082632	0.309893194972581	-0.293772660271302	0.321335580203401	0.393048725790548	-0.353571832284416	0.606003140897194	0.466190741130502	-0.263242734952776	-0.521305624614813	-0.490571414459143	0.257740022508181	0.295453187153319	0.610205362622726	0.732169694298833	0.03094474630703	-0.579960340513802	0.0620640585498039	-0.179535138215146	0.472510372025969	-0.0123336346678231	0.277075840856002	-0.178753606691356	0.151876912998877	-0.251576512105509	-0.166240373258939
g__Ruminococcus	0.000642709370843937	-0.370945609348577	0.296108863568029	0.814023727514745	1	-0.166420887906572	0.0873770167122741	0.183786682821664	-0.380204093429226	0.112100348553466	0.33323697227326	0.231115574159213	0.418988971745014	-0.648850022837558	0.278677260616636	-0.355413832447964	0.505280463123362	0.44292457030308	0.538944287889433	0.324965568260588	0.438834411821154	-0.147734186731746	0.13407365655276	-0.245906416025874	-0.30104945354171	0.41484996354444	-0.465989503180567	-0.018635828086495	-0.246689013721428	0.416650039606657	-0.580365272454232	0.470564745220959	0.751120841089538	0.0592079643883549	-0.156140442021111	0.0387114890207583	0.706108929118445	-0.666841897527411	0.408217942625809	0.0787633555775314	-0.467555820223222	-0.28527167098403	-0.222239582271586	0.203817750756465	0.285278752143554	0.267805188929807	0.54292138556437	-0.258688910153731	-0.152742004296181	0.176404643693288	-0.405071955196878	0.359738345664122	-0.159658839062776	0.56731770086933	-0.48205894547913	0.105226305290644	-0.140928356239777	-0.261857239407157
g__Clostridium	-0.557651054368208	0.420935308006557	-0.375998208118169	-0.431551873005237	-0.166420887906572	1	-0.2887408988297	-0.414322502938124	0.00856470756224069	-0.4162524001906	0.148527402804277	0.175530147041953	0.164349476000701	0.24485800151664	-0.202877080909374	-0.189969728119683	-0.275782645744539	-0.335741821709691	0.0506829040112048	0.0525795625307601	-0.323445908028009	-0.132047824775698	-0.401819445905606	0.446733253025503	0.618623673398087	-0.506237255944097	-0.124302039188734	0.0599376082226775	0.145830444158865	0.585162128771033	-0.347301943488441	0.057986592893971	-0.167995984039024	-0.0641387727384753	0.228001430930521	0.175785777660884	-0.255875341125913	-0.0748353989062137	-0.812231747078149	-0.174829284861121	0.326107203703586	0.0442887597112398	0.0901612727340634	0.439581082502516	0.20132089162355	-0.384820594134305	-0.444352007916716	-0.634907791943597	0.732671063143518	0.68470479729439	0.417674359576765	-0.427388399132871	0.263779760334622	0.253032051314909	-0.063289762198951	0.124215280070409	0.0450188774510542	0.111232665048239
g__Roseburia	0.317250400209568	-0.238960328294096	0.803360972482522	0.362956219740979	0.0873770167122741	-0.2887408988297	1	-0.640505352851381	0.396450293881643	0.414843125891306	-0.808530183782156	-0.806345845760793	0.69266939217373	0.00421016889391106	0.2789931668718	-0.148516865795955	0.711488402872241	0.305122303310308	-0.0626437601474822	-0.171124840303226	-0.145800908092814	0.497273386986352	0.439893861948969	-0.17855236163711	-0.745416645157544	0.601463755390687	-0.280660499269245	0.325858879063146	-0.527382438906894	-0.0489179482481907	0.175789818013005	0.338601477182266	0.103246093602787	0.00715223485781009	0.251310818912306	-0.299900173003743	-0.463548899044602	0.225727848034722	0.221893173572997	-0.529963901219522	0.32778692967106	-0.155859419948615	-0.248137350578914	0.525111827347333	-0.771126745095462	0.175965127294048	0.101645096710656	0.278631982389719	-0.343136446071381	-0.136080105224337	0.344494732495298	-0.447441493285161	-0.210434150014506	-0.0488559628352709	0.402245423554367	-0.157218670424589	0.404434512461019	0.479031753392901
g__Blautia	0.19310956938513	-0.133449374839489	-0.303275583371719	0.130920971769249	0.183786682821664	-0.414322502938124	-0.640505352851381	1	-0.302239787287934	-0.0299911637674347	0.551336104155806	0.535207959135121	-0.596882369746969	-0.177968681658529	-0.205324947875181	0.436474399542403	-0.366674288997316	0.276178210523711	-0.185928038926399	0.16714194305411	0.639528180144735	-0.227266185048884	-0.267459474426077	-0.109897894023107	0.0911992930400378	-0.100608053062415	0.642516464806933	-0.069312380545723	0.485745329108369	-0.338898862170819	0.0274757584712146	-0.487084322101385	0.483858585246064	0.327144612489309	-0.167931281893006	-0.445185404946582	0.747157395165475	-0.271747409888693	0.461485569415538	0.262950386812596	-0.660541793222214	0.585532779485971	0.48066939476529	-0.799578089495907	0.384362122747345	0.0609714626469934	0.194750102726806	0.280609934801297	-0.0152114379055035	-0.336383236527549	-0.703784560866732	0.56178936458314	0.136163416344527	-0.0845590404392021	-0.35695071403028	0.199294393687342	-0.351288990993078	-0.60442671990741
g__Parabacteroides	0.708464562472142	-0.378518587871028	0.35506426349481	-0.385946783898577	-0.380204093429226	0.00856470756224069	0.396450293881643	-0.302239787287934	1	-0.39461943340512	-0.203200330948512	-0.673824779413301	0.451254973120677	0.675892904773229	-0.569973883972157	-0.0739603779186596	-0.144738493015549	0.551403418121476	-0.451256774034545	0.0749893837254175	-0.326636565032618	0.184768735423801	-0.199641416010518	0.59964334831788	-0.174202762462679	0.296216794224183	0.11563471231394	0.464208613942128	0.280749068107827	-0.447383745172619	0.69005189878135	-0.342004735950322	-0.405874027403988	-0.0163961972190164	0.579365042382002	-0.224985143887457	-0.502436110272918	0.71525412216268	0.122038919384307	-0.452023402650787	0.26811046009365	0.272126472921688	-0.0832335210599404	0.0870249950301347	-0.907558115694947	-0.639617566366903	-0.60189974361289	0.340983687838553	0.134119957140932	-0.0611727022877756	0.364624163578702	-0.227628124089615	0.263660769599293	-0.340826493911631	-0.0166596005052931	-0.0544385862300868	0.134704201667624	0.658894186695867
g__Lachnospira	-0.268013964089135	0.279754563087024	0.27642342100814	0.452061113883987	0.112100348553466	-0.4162524001906	0.414843125891306	-0.0299911637674347	-0.39461943340512	1	-0.631073496582379	-0.0526988009783397	-0.0176482146226553	-0.171468546964923	0.672949029990531	0.0567831420682536	0.344979690143298	-0.057103615116017	-0.240930390394347	-0.144983868972532	0.265540877210589	0.442259057730849	0.380502693305765	-0.781662805100381	-0.288706593363499	0.0163525828660201	-0.00323443911412943	-0.0959185888485936	-0.586980690925078	-0.0821048969415026	-0.14174927772027	0.0109682974819515	0.460749518354817	0.472841465601105	0.00748295301304773	-0.460986898253479	-0.104044121867987	-0.237900046791306	0.132367128597854	-0.111718747017679	-0.21113162070597	-0.023250681858023	0.170124662824721	-0.0488816166330221	-0.0670858241823253	0.671588842777847	0.636350266363392	0.464476309588895	-0.461282037617211	-0.125543533075751	-0.253441206672722	-0.267705369392061	-0.2740977237341	-0.307901068975653	0.44264010920347	-0.443022902098237	0.303976367954692	-0.421265373533158
