	g__Bacteroides	g__Parabacteroides	g__Odoribacter	g__Sutterella	g__Oscillospira	g__Fusobacterium	g__Ruminococcus	g__Blautia	g__Bifidobacterium	g__Bilophila	g__Faecalibacterium	g__Prevotella	g__Coprococcus	g__Akkermansia	g__Butyricimonas	g__Haemophilus	g__Pseudomonas	g__Dorea	g__Paraprevotella	g__Streptococcus	g__Roseburia	g__Delftia	g__Elizabethkingia	g__Lachnospira	g__Eggerthella	g__Escherichia	g__Propionibacterium	g__Corynebacterium	g__Veillonella	g__Campylobacter	g__Staphylococcus	g__Eubacterium	g__Desulfovibrio	g__Actinobacillus	g__Alistipes	g__Neisseria	g__Micrococcus	g__Holdemania	g__Collinsella	g__Dialister	g__Rothia	g__Chryseobacterium	g__Pedobacter	g__Enterococcus	g__Mycobacterium	g__Enterobacter	g__Anaerostipes	g__Herbaspirillum	g__Acinetobacter	g__Cloacibacterium	g__Aerococcus	g__Sphingomonas	g__Agrobacterium	g__Facklamia	g__Clostridium	g__Trabulsiella	g__Lactobacillus	g__Actinomyces	g__Nitrospira	g__Comamonas	g__Oxalobacter	g__Frondihabitans	g__Enhydrobacter	g__Devosia	g__Epulopiscium	g__Gemella	g__Variovorax	g__Methylobacterium	g__Microbacterium	g__Stenotrophomonas	g__Brevundimonas	g__Gluconacetobacter	g__Anaerococcus	g__Actinotalea	g__Leptotrichia	g__Phycicoccus
g__Bacteroides	1	0.347177473678182	-0.0891831760604565	-0.180992422668096	-0.1541539369113	0.610841755696669	-0.0446137259730765	-0.423638689327303	-0.577091133215058	0.338126673851802	0.0656014416069828	0.451524080772577	0.0822941162720814	0.322803296180135	0.236598950417452	0.117649593946259	-0.604972965992089	0.121625847309314	0.281368077417369	-0.801845154863387	-0.513413527897671	-0.259169596099363	0.00485935816251078	-0.35534699568256	-0.126595840220532	0.549153496288534	-0.621944276084427	-0.363691915795738	0.220704658731124	0.243525280728596	-0.50337241396753	0.208054657924609	0.591551872450102	-0.437752579358759	-0.436884944605658	-0.0138374329702174	0.54515351138539	-0.0721883105148691	-0.367349261212506	0.0108307271876274	-0.452911345529038	0.058962494511095	-0.0167088898671793	-0.323656914238108	-0.126755338595019	0.27529142115092	-0.0986166315255221	-0.37761775201531	-0.244799344852496	-0.268608560518572	-0.378150919817694	0.0286199208787656	0.437679558161433	-0.278780561254555	0.0326404279442366	-0.0357078324659624	-0.251517620220763	0.131401756181922	-0.294330353842468	-0.209631252817229	-0.0980930424592965	-0.0856158702792789	0.0160332603023751	0.0658940409735104	0.340992545902	0.189252442848965	0.109884117910825	0.404676199744181	0.294238659460618	0.410178373115771	-0.353228269178537	0.165466043373968	0.161556184969221	0.108145632322329	0.653073548252101	0.338397958026787
g__Parabacteroides	0.347177473678182	1	0.23921494903202	-0.349143061133492	0.306414033772465	0.114290014672248	-0.289694560719392	-0.222971269730149	-0.367458799767826	0.780499079166157	-0.259037395804556	0.0957508790130907	-0.153948172433554	0.453354671439024	-0.163777601596554	-0.393181024525787	-0.0549127296709555	-0.216340824678734	0.222129057204784	-0.515310564902621	-0.695015074355933	0.415848925288469	0.238690847905183	0.33055769377685	0.197463098371323	0.50021667754918	-0.332947487605894	-0.290361003627065	-0.398217174855384	-0.523848916401396	-0.383214616878107	0.271206669768541	0.261485282939443	-0.318755139476066	-0.368468631860169	-0.296348677380445	0.298377413137192	0.0768951943380088	0.183390434703244	-0.285796681521953	-0.269004816933494	0.423270904071727	0.411230278575194	0.159063512435424	-0.0633456765684435	0.0992561541156288	0.328072140887771	-0.166210489479312	-0.0650806578775253	-0.256681869872891	-0.177829953965662	-0.477166099787539	0.138760058880449	-0.104323516826413	0.371719524056897	-0.574967666342303	-0.475400458980465	-0.22672510106921	-0.00523917396583484	-0.395910461827127	0.183821991090658	0.0994704677516367	0.190603021255344	0.0532124217935481	0.483091599050136	-0.180505923387505	0.288399361936073	-0.019514384440653	0.148606282073312	0.663896709853307	-0.0552385544972972	0.361020960211767	-0.03851807623585	0.143402219591394	0.0638612110966741	-0.297898644338835
g__Odoribacter	-0.0891831760604565	0.23921494903202	1	0.575558258239588	0.662082842889125	-0.816802671621105	0.0763549327272876	0.610914795927165	0.269994356760143	0.0419577519021273	0.478356470588271	-0.365758231489456	0.399237452210252	-0.242480373340019	0.302291093571281	-0.63965203750285	0.0778635602625659	0.280116960467259	0.237629943861902	-0.159289846398371	0.306064633253544	0.0277073797155628	-0.0667704484659388	0.455239375344299	0.0765661559578503	-0.402402062384985	0.199285727396158	-0.161725134500479	-0.526279804429783	-0.0904844308219869	-0.271865344342384	-0.17865983917532	-0.324357159740953	0.191988689323981	0.558656972203742	-0.273111958003595	0.153479356342355	0.665269860357522	0.682684983548668	-0.111817181882678	-0.318804049413902	-0.00215176482549286	0.0818415531713701	-0.0200614133431307	-0.371157797768624	-0.169026126310239	0.426031406091616	-0.0282868726912736	-0.095253712176108	0.0875552571776454	0.293681103087436	0.0429467706518978	-0.463366891187457	0.134910142669146	0.496489097331727	-0.474566309357294	-0.300562388553841	-0.307139345921264	-0.125123967779038	0.257466914590675	0.337001190867308	-0.290051147870809	0.569067811748336	-0.127925395406007	0.251247816761625	0.0849606761544234	-0.0560371451343591	-0.204725539011215	0.415725430414292	-0.196155538896037	0.40928080987559	-0.279011943540827	-0.515934643332908	0.14051133785873	0.100887682763466	-0.645876791858767
g__Sutterella	-0.180992422668096	-0.349143061133492	0.575558258239588	1	-0.000975114952134369	-0.264324205213547	0.248947400854006	0.376159778105894	0.513327908387704	-0.326063818277011	0.831814602908357	0.150561629815428	0.694928661425844	0.188907816949592	0.596762312538599	0.0850942397859324	-0.397534450570312	0.675969207959593	0.194912728068763	-0.13538888451895	0.29392131175116	-0.608465136129877	-0.726003690082256	-0.0285605638891346	-0.219866461655117	-0.730538100224361	-0.0324914855821725	-0.122317119311816	0.0921445662639125	0.350287285208552	-0.202653305809151	0.146951610675428	0.19341283075124	0.501067175773922	0.763232983544546	0.0552808359104995	-0.450210052331713	0.737859891738067	0.15065339655637	-0.501390047398764	-0.0957662075185264	-0.700376603621838	-0.650923520791823	-0.169912941793747	0.00116447336628247	-0.603152354203937	-0.211550892177352	0.177994577815388	-0.0666959283963	0.255520941822008	0.200514842354651	0.18897868487393	-0.307133746126914	0.446839318808258	0.26493194966876	-0.0712441804334721	-0.382294612782267	-0.521406657665493	0.218809239475477	0.609390847667114	-0.236216993134894	0.0918802952264641	-0.180191926009305	-0.732124123427975	0.0498826663228405	0.114832821415561	-0.370776268942062	-0.22881151108423	0.249324800387263	-0.456736892560182	0.459694681378589	-0.309438342358158	-0.411359961950665	-0.205637434036986	-0.0376680408026076	-0.183302566806066
g__Oscillospira	-0.1541539369113	0.306414033772465	0.662082842889125	-0.000975114952134369	1	-0.500239152743215	0.235558363145161	0.542547902934985	0.348841772833706	0.357354838126477	0.112823569715903	-0.386673134106204	0.127685738261427	0.0104825631898524	0.0340050562921041	-0.563688024902729	0.0465332473481046	-0.0519597601903133	-0.111676190113703	-0.260900048840278	0.347481620603646	0.190427693010342	0.311288572895373	0.740173455736846	0.493271897931392	-0.026883028666143	-0.176050916415466	-0.498576355299935	-0.440023647179038	-0.329544874578722	-0.300821194803039	0.254934871779462	-0.244615865822479	-0.178521199766141	0.164416612901627	-0.583601954110455	0.458186737646907	0.121064661526943	0.282879242869083	0.0872423371438777	-0.180695813803486	0.303794302962711	0.364272558550649	-0.484642735169478	-0.739333459348445	0.446159708578665	0.912392624776745	-0.517838158300845	0.455376069726503	-0.513623414371764	0.0593332240137575	-0.0937698522806296	0.0765505624614835	-0.249524651587598	0.457467390496068	-0.502158074066081	-0.0788648392715513	0.195753270555911	-0.33973779749456	-0.483693301352419	0.868093053790951	-0.436196970392012	0.596986061731794	0.19492326126623	0.599848783528709	-0.321748222605679	-0.133164381842188	0.0745019424874898	-0.0227862847024923	-0.0363746705158959	0.0562285483047238	-0.371851875463341	-0.506120882868936	0.263590637160448	0.0721152980213588	-0.543078161767565
g__Fusobacterium	0.610841755696669	0.114290014672248	-0.816802671621105	-0.264324205213547	-0.500239152743215	1	-0.0778178677289021	-0.730772826133462	-0.331246500993404	0.392744026562816	-0.374305247209755	0.709054620969785	-0.292237128286805	0.536570450632218	0.0416108775909287	0.530952583506661	-0.166728574120764	-0.16160538337526	0.00119204645237421	-0.189364886161535	-0.49545192540767	-0.0493506159430331	-0.0640217054565585	-0.401899979470668	-0.241405701669429	0.446783904383754	-0.441141359556226	0.133253187335786	0.4665828437554	0.0268486773409261	0.126217705441494	0.414512395567864	0.702776551849254	-0.191622453769223	-0.370863660602652	0.208742439121161	0.0322080471001615	-0.490481426078161	-0.599380613303411	-0.0678933790730525	0.132598007781597	-0.0116939941121525	-0.148107841182177	-0.0214238750750799	0.335580904227652	0.211090196528044	-0.354335981729837	0.0282261089390859	0.229246660922689	-0.185710113007123	-0.253732775461041	-0.0972284352909168	0.548157257587297	-0.0477033192396191	-0.310405789701551	0.328009527008158	0.102809407512397	0.274962813938361	0.142644014651214	-0.0727233614683852	-0.230257296886613	0.41936322699838	-0.529743486420876	0.0656498637487377	-0.0141639796093297	0.00624648619874551	0.134229484756646	0.295828315123461	-0.118728942561483	0.395109305288028	-0.36935543773286	0.349138087320266	0.494478188324893	-0.035326588907312	-0.000760278436415252	0.688228317133407
g__Ruminococcus	-0.0446137259730765	-0.289694560719392	0.0763549327272876	0.248947400854006	0.235558363145161	-0.0778178677289021	1	0.637402413140927	0.6727945253163	-0.368967903244328	0.701612336809658	-0.482117210653919	0.805284402156455	0.19544118100723	-0.140383156415781	0.398146610950794	-0.75233742503109	0.726709732490956	-0.363871541225885	0.197318001824794	0.369461939686561	-0.687841067723175	-0.289902332343276	0.434769311317047	0.73496830985989	0.0491639570427601	-0.100368025833263	-0.811074724881179	0.456994768893527	0.464284616573793	-0.284082742694153	0.486100670945788	-0.217609698653008	0.108650969709108	-0.0413287708912569	-0.242780959621795	-0.296865168543197	0.384524627349912	-0.435546704073884	0.0217824811113507	0.0781658597838452	-0.313002073449375	-0.344630553673036	-0.477579337506638	-0.351882581631082	-0.0860670463517456	0.193346809738078	-0.333392497394152	0.0364500454520762	-0.237847906178985	-0.2242500700231	0.0958484322147534	0.373477520888703	-0.259525453414707	0.474385206144715	0.140307781987736	-0.215890324478014	-0.0181359004737169	0.0326754461713316	-0.296470093166781	0.18120466921369	-0.306056086218061	0.0896992642634246	-0.226606069313817	0.380077900051178	-0.12011619664495	-0.294693989070965	0.0265601910069737	-0.321678613033724	-0.358004762848978	0.0635478475825482	-0.295809690189158	-0.148423383474836	-0.0261615281812101	0.262412937894704	0.136277986337886
g__Blautia	-0.423638689327303	-0.222971269730149	0.610914795927165	0.376159778105894	0.542547902934985	-0.730772826133462	0.637402413140927	1	0.547964476482743	-0.373590513357359	0.692378391588984	-0.671682677819397	0.701351845722944	-0.259340338357313	0.00427845489444796	-0.207816524377228	-0.158857566873705	0.492825086260268	-0.26154005774492	0.26901774950348	0.530341103381751	-0.26469433479084	0.0206242269676302	0.534660247799937	0.547343337997383	-0.394918456678474	0.493822900033219	-0.469681741817653	-0.084009368963509	0.136700782232571	-0.207293024004313	0.0171935074132485	-0.533385734500759	0.136633374413619	0.323649732511616	-0.440102416921048	-0.223948019884015	0.534066388971072	0.387082515407702	0.0176305938360992	0.0613682115591086	0.0353689580758134	0.00509840431458958	-0.177346340045374	-0.475727553307887	-0.160392666773543	0.401623507653662	-0.162060881095332	-0.0252943283754932	-0.12198381492013	0.114859859875844	0.134070779786894	-0.235405967412305	-0.0744925958286437	0.491762264671123	-0.141794250635736	-0.00798053593723609	-0.0470656075647947	0.0603701612013141	-0.0947918688614719	0.357890386325627	-0.416949830745328	0.396856538901716	-0.0223227743161746	0.14456342676947	-0.138580439106984	-0.182063410842266	-0.290740473961411	-0.0409877436525234	-0.452072793914171	0.226308434870426	-0.248482810709188	-0.354916787197001	-0.0274488568990054	0.0889715478638173	-0.343065852629767
g__Bifidobacterium	-0.577091133215058	-0.367458799767826	0.269994356760143	0.513327908387704	0.348841772833706	-0.331246500993404	0.6727945253163	0.547964476482743	1	-0.362787329118312	0.483365170133972	-0.402907448970906	0.542955963489465	0.179227799055267	-0.0409474780657074	0.200864061832443	-0.256557584642695	0.548571013738885	-0.190168092336466	0.408073362881132	0.643734575374066	-0.426714504532421	-0.423865602772982	0.564937396532205	0.478643657718264	-0.419030616735029	-0.113803597380755	-0.341542573495284	0.134182513927616	0.165660714130088	-0.0105666296492776	0.437659526234749	-0.287473410335816	0.357350565988898	0.329033458254276	-0.00775975838573981	-0.411332357831372	0.428283484352175	-0.245218391126956	-0.0133631637892966	0.146605629586797	-0.432915302396796	-0.377349014423578	-0.247871389976668	-0.186446578195503	-0.239082928495114	0.202310887742711	-0.0173653670676487	0.255808776529569	0.0711789223207021	0.0766798109223798	-0.0164067002926299	0.0934431524390235	0.0969840504729802	0.356992439464764	0.0197981673038842	-0.237085658314823	-0.318022993303053	0.113684153770791	0.0784650588323346	0.212351651556675	-0.165715779231395	0.0979697265451401	-0.398057568317599	0.176239389003232	-0.0425078350134026	-0.432182780296185	-0.0441926956161003	-0.232240209311565	-0.430309976505204	0.258552890060941	-0.450586515026346	-0.352313536739215	-0.201447189041809	-0.27609700689649	-0.177440924480715
g__Bilophila	0.338126673851802	0.780499079166157	0.0419577519021273	-0.326063818277011	0.357354838126477	0.392744026562816	-0.368967903244328	-0.373590513357359	-0.362787329118312	1	-0.373861372896851	0.506184579292423	-0.32556971293388	0.646753469221121	0.172999670495427	-0.375619868793505	-0.0467910304670982	-0.407064138304204	0.149524415859751	-0.753511747671988	-0.643875388915745	0.351771763154597	0.224938972465682	0.184514800797438	0.0023763459236888	0.299804903871859	-0.532543494074408	-0.260614121798552	-0.375403902689505	-0.684067106504104	-0.377600320696019	0.504887780693178	0.63262950930093	-0.42061800719872	-0.105150663176229	-0.486679202028714	0.36309102718837	-0.235571901780189	0.0792415793157654	-0.384262674890889	-0.222232036442673	0.365503913919627	0.343344974863269	-0.19218061483164	-0.232291561607553	0.353165462014958	0.43421060683873	-0.404772758946188	0.405411755928179	-0.624102390293961	-0.20164840115729	-0.433534240987567	0.263012444168304	-0.180674454637125	0.235535113446754	-0.586287187098401	-0.300720516501969	0.139682167654715	-0.0361359224712701	-0.449170406528434	0.345223222448771	0.189366403126625	0.0465756480628647	0.0277045735252171	0.458500049835271	-0.320103369649618	0.193531329131969	0.0661790264836155	0.103960272920075	0.534525361078846	-0.202457442139965	0.259286379538437	-0.07196850992304	0.249365494463828	-0.0115407374378697	-0.0925991200198793
