	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Butyricimonas	g__Caloramator	g__Campylobacter	g__Catenibacterium	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Desulfovibrio	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Haemophilus	g__Jonquetella	g__Lachnobacterium	g__Lachnospira	g__Lactobacillus	g__Megamonas	g__Megasphaera	g__Methylobacterium	g__Micrococcus	g__Mobiluncus	g__Neisseria	g__Odoribacter	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Shewanella	g__SMB53	g__Streptococcus	g__Sutterella	g__Veillonella
g__Acinetobacter	1	0.0360085734133833	-0.186978694271047	0.00636578087200674	-0.0555402523031634	-0.365270337602306	-0.208388521034453	-0.195010056613651	-0.161495935565354	0.0127011530381314	-0.08399887647409	0.144816293524149	0.311988022727988	0.12276605602983	0.0886427702821379	-0.347491909799853	-0.119593914694863	0.00985152713838515	0.0640246834419155	-0.121777568263848	0.0774666349252386	0.0537123011762208	-0.122007160579399	0.0907853380465598	-0.0687296668818524	-0.184453128803021	-0.00155906328289768	0.106505420564961	0.344793175179863	0.0538176921871099	0.174207196305324	-0.0249550328575404	0.122127948140772	-0.0849194133499231	0.177395557851102	0.151278177214981	0.152530412558398	-0.214016036206144	-0.184765513376678	-0.414765668808358	0.0744437738056041	-0.210076261469596	-0.103366742796409	-0.0851596942681226	0.10234929880229	0.267429950700577	0.134583188928502	0.209906481621914	0.176573295572061	-0.0604876835853609	-0.128609046811898	0.108289224666177	0.0465968421234424	-0.0616996313968792	-0.0787882374915279	-0.0414131540195188	0.109045007159127	-0.0405866943422316	-0.100802038446039
g__Afipia	0.0360085734133833	1	0.119820852744131	-0.219329993818078	0.388501044131753	-0.312526967652248	-0.104278327238818	-0.0282575318290602	-0.0924394107175915	-0.114608771696172	0.387737821221253	-0.101940276860476	0.307500832145519	0.142785654136509	-0.311703097588319	0.100788452528358	-0.100908541598797	-0.086171381861825	0.372029155279186	-0.256457556105893	0.0197915235230647	-0.182224525351287	-0.0585488465185388	0.0982042931493267	-0.0314227467416607	0.154081521847862	0.16800046207905	0.195738482898478	-0.0391940500063654	-0.219474105525473	-0.0341218010890425	0.0635080176805259	-0.10606786660634	-0.460329243826306	0.535950326526275	-0.264113933223066	-0.0545138169821595	0.0638056108782936	-0.277514324907617	0.111812116469134	-0.0461003729631091	-0.0672035890369729	0.0265247936542102	0.0416825657258983	0.132646451266081	0.0637924527463276	0.260581527037637	0.0759205590117401	0.299900128119128	0.0445497952608102	0.0146196402435023	-0.136708813764858	-0.241063984919433	0.213576767808725	-0.227758578771967	-0.463570056513311	0.0646815246449458	-0.0012039903280301	0.176522669119802
g__Akkermansia	-0.186978694271047	0.119820852744131	1	0.114941056593991	0.197834379691054	-0.134355239463498	-0.134656633864385	0.230330850422503	-0.192243293710157	-0.120685467715087	0.0577095431242257	0.0156147236957931	0.0128597028312315	0.10174184907217	-0.0569176790439452	0.0851143457928507	-0.0781097946448207	0.0723638391149767	0.148181867933747	0.0678780174212605	-0.0775870965413076	-0.335501422206204	0.227443329530526	-0.200095962442793	0.0863515237520892	-0.0280010269624286	0.200989539834762	0.197476195794965	0.02829170519287	-0.0386554059161513	-0.162372706030019	-0.105977458324313	-0.213769259122124	-0.133276034321121	-0.216905075372964	0.148851310868683	-0.032060104047983	-0.0657804837504764	-0.0335955742110661	0.269545741310341	0.151478461327332	-0.111496031622478	-0.0343814191184964	0.128972817353484	-0.025270196367569	0.19688389153759	-0.180059786157517	-0.0429172641052825	0.0311650568849756	0.030495870802188	-0.00862864591030549	-0.19848742540657	-0.0709702516214401	0.0842319064368791	0.00452031717542745	-0.255414123565235	0.1666937791449	-0.170718398947585	0.140335798317689
g__Anaerostipes	0.00636578087200674	-0.219329993818078	0.114941056593991	1	-0.0645467375038122	0.325828485936198	-0.178603269398544	-0.135878047894687	0.249189174163146	-0.127184599012911	-0.0711299232878151	0.0948036612509755	-0.0510811136789202	0.00890427312429171	0.0508763958836542	0.221825447400704	0.181134166565797	0.312785338798647	-0.0118041235928341	-0.115993977615507	-0.0884037129483079	-0.0500089311022793	0.0247092749885166	0.0965052148700363	-0.162125871005475	0.291587148055966	-0.137808368416427	0.198707890185646	0.177480200096335	0.106211328223418	-0.0431313817903416	-0.107261967420545	-0.0877234227356375	-0.174785919636511	-0.347949137020343	0.000579324806143274	-0.125674022379872	0.0443340404143364	0.0729924032511302	0.229092406797944	-0.0692592705259303	0.292473946980349	0.271151923120373	-0.0888454421766265	0.0429653467707421	0.0965706846112375	-0.184192081391685	-0.0393640495573599	-0.0942129720804629	-0.134291516993497	-0.107406112747971	0.321424428352033	0.354773350073225	-0.174384260878067	0.0323003937976027	0.299336220561549	-0.0131870596807901	-0.115530005815246	0.077732221077764
g__Bacillus	-0.0555402523031634	0.388501044131753	0.197834379691054	-0.0645467375038122	1	-0.26854912206062	-0.0852977938265718	-0.0293581493581679	0.206816189416742	0.0909444029576926	0.466808416730804	-0.250147322259507	0.203582772806958	0.154282280966913	-0.327159636826872	-0.103604241676067	-0.0542418933853074	0.0625111728197608	0.243497339245351	-0.0403860388122994	0.272521247886884	-0.0126027141117583	-0.11808279157682	-0.0867306455092097	-0.208924453962643	-0.42114105146393	0.0420453946098294	-0.0989358919053313	-0.317303178421157	-0.387715789030598	0.0834345276124853	0.114647349203708	-0.0936818998808383	-0.468613143086289	0.199149174651016	0.172746872009199	0.0993280033274207	-0.0534021786789226	-0.291358142105875	-0.103509070146017	0.178358865357061	0.0853146498737711	-0.0624405989124476	-0.0799635906082412	0.00030438977820219	-0.0862145927173277	0.383391666037071	-0.0012177474571151	0.426479647856728	-0.131783545612005	0.157497318347137	-0.0428095015262141	-0.259320994723102	0.129555765375967	-0.230118434532469	-0.46584310750052	0.411753395932352	-0.0620589735466891	0.0500069819717149
g__Bacteroides	-0.365270337602306	-0.312526967652248	-0.134355239463498	0.325828485936198	-0.26854912206062	1	-0.129735010057365	0.0669016193874434	0.129541722409786	-0.116924986551363	-0.199520769046842	0.323651726126003	-0.211941216179122	-0.102773679919303	-0.231798178991919	0.345936772753579	0.226553944029118	-0.00807598384449741	-0.0707028032128845	0.185362927250919	-0.144348656338153	0.308622909441364	0.375249887741303	-0.0654899545203537	0.0470658270952496	0.11383891015447	0.0298598299133514	0.0743333576710281	-0.0593306895496927	-0.0813146912479216	-0.268908565384854	0.0199474619877803	0.138095400554514	-0.0249782086384411	-0.166239465450824	0.0365359722533857	0.0514080447729414	-0.0137590724128483	0.188435507192159	0.289530827499131	-0.139157671800125	0.27729677936799	0.180732366822338	-0.0630911342681565	0.0488710990849281	-0.216628470589587	-0.146004732368906	-0.259072574638489	-0.121659773361605	0.0246103673201402	0.155462869758754	0.28203139125812	0.311859544173704	0.286305861881993	0.0148099186750315	0.268529361796434	-0.296865360732884	0.0590663235264763	-0.251269782958887
g__Bifidobacterium	-0.208388521034453	-0.104278327238818	-0.134656633864385	-0.178603269398544	-0.0852977938265718	-0.129735010057365	1	-0.0507518630034815	-0.0079644957859868	0.135866137798097	0.0266274786282529	-0.139656791071283	0.046251022776636	-0.202404262122139	0.169335387961787	0.172690101510787	0.268750948805704	-0.0248066139105832	-0.239208225620887	0.144912270257296	-0.0108458514153012	0.0763107072843454	-0.0932956966511457	0.197993192104949	0.136603355633857	0.0258035091958466	0.0295897657801425	-0.176044737136467	-0.309530836175452	0.244005697334249	0.325178525414522	0.0308819909620565	0.183792814468297	0.120777739618721	0.0568165881912056	-0.176013972344926	-0.204226942405078	0.126206925670596	0.102295003257583	-0.241956438224199	-0.0198044639721937	0.0772028304933328	-0.0996944162675339	0.0719777898163935	-0.0330903244841791	0.0269449554303604	-0.0147921916129937	-0.112757737138566	0.143344605290194	0.117044891432976	-0.179819150503487	-0.0714132154731701	-0.00358442633755057	-0.169663523729132	0.0320070401493501	0.0781449558536194	-0.292947162766248	0.411383020121255	-0.0649775253969724
g__Bilophila	-0.195010056613651	-0.0282575318290602	0.230330850422503	-0.135878047894687	-0.0293581493581679	0.0669016193874434	-0.0507518630034815	1	-0.147251295404964	0.0307209918419202	-0.240874064847874	0.128686693038302	-0.155924245247334	0.30179465435794	-0.199204898173967	0.149970760830988	-0.0883509590930751	-0.187982836558307	-0.0682910738604827	-0.0596508664604529	-0.0201128923350553	-0.0175277162583824	0.294265652379654	0.0366315192370222	0.101359077093901	0.0912000596734691	0.205346412822232	-0.146134628013572	0.0620294716920732	0.000346661314085107	0.0342028703690737	-0.0571976303723851	-0.153007999836164	0.160286486302501	-0.361529798097549	-0.0865887243880422	0.200197209818541	-0.209168662155271	0.0902768441464508	0.131082855207596	0.117406827397948	0.126712951867274	-0.0273341791439547	0.202920560765467	-0.0824840434561456	-0.145443668545047	0.00486999694064179	0.053043272396304	-0.183508909481005	0.134944138357663	0.115331616762274	0.0512980651589432	0.177698465829736	-0.0176256702323024	-0.17657766232884	-0.0863465219928251	0.060330500684125	-0.184314087506223	0.0304345888406726
g__Blautia	-0.161495935565354	-0.0924394107175915	-0.192243293710157	0.249189174163146	0.206816189416742	0.129541722409786	-0.0079644957859868	-0.147251295404964	1	0.128594202432716	0.173539814046996	-0.134488483754739	-0.317083512891531	0.127264550901082	0.0047967928686008	0.198797653234662	0.355301792101087	0.618142060722866	-0.172697271508558	-0.0164310987458016	0.43264790240504	0.279208748727394	-0.35545610590699	-0.0554853393996354	-0.0749959954850809	-0.172197530556492	-0.029830814405049	-0.110099801014995	-0.0779413026782841	0.0561135193905632	0.15018337375993	-0.0966508344442213	-0.0480657412986818	0.0123274637427733	0.0608364424460865	0.0634865649360098	0.00809395058357802	-0.15560728432029	0.0210944910700188	0.242602305996669	-0.0555488464125048	0.37666115559275	-0.0561534976391936	-0.176686402173213	-0.0499120008833745	-0.202945200372009	-0.0244057388157604	0.0331531164174503	-0.0846940734162086	-0.394918090131397	0.0593467953087522	0.432274011402699	-0.0679871243395172	-0.134145602185368	-0.0616554572353043	0.335910555559745	0.0698727648862228	0.181510195682028	-0.176907370840924
g__Bosea	0.0127011530381314	-0.114608771696172	-0.120685467715087	-0.127184599012911	0.0909444029576926	-0.116924986551363	0.135866137798097	0.0307209918419202	0.128594202432716	1	0.143399188212552	0.0276883663911541	0.100385292661156	-0.00364427579660032	0.109802173932541	-0.161962291136742	-0.140249654181695	0.0604316067107762	-0.0877429619827348	-0.0643960850608297	0.343682367458654	-0.126478551436378	-0.246901531969292	0.0318271526368798	-0.158826358289578	-0.301565903301073	-0.112127065943488	-0.0326458656020158	-0.108966154859385	-0.101602465254341	0.267696668394453	0.0451853744966441	-0.0788769100975803	0.161855352030786	-0.0938498196085263	0.259141599495724	0.135419100947134	0.176183601581545	0.486227602876104	-0.269890077775207	-0.0418218579331536	-0.0799551497424812	0.0669183712391857	0.0869549466879674	-0.0703966402763628	-0.0982537523993857	0.212942820254438	0.00232347911177026	0.189526455545605	-0.0851501863233151	-0.215728259507557	0.022689622471752	0.0831572703428724	-0.270193624737375	0.157423230393426	0.0411173212329011	-0.0238244864700375	-0.00272466598006866	0.127869133011254
