,SRR6450951,SRR6450978,SRR6450960,SRR6450957,SRR6450980,SRR6450948,SRR6450953,SRR6450959,SRR6450975,SRR6450977,SRR6450981,SRR6450955,SRR6450958,SRR6450972,SRR6450947,SRR6450971,SRR6450973,SRR6450954,SRR6450961,SRR6450952,SRR6450950,SRR6450949,SRR6450956,SRR6450976,SRR6450979,SRR6450974
g__Acidaminococcus,0,0,0,0,63.14725941,0,0,32.89365481,1556.03494,77.53440589,0,0,0,53.85609651,0,0,0,39.42284948,0,0,27644.18918,45.51661356,0,104.3696076,49588.384,0
g__Acinetobacter,73.35142669,0,0,0,0,0,0,0,0,38.76720295,0,0,253.2126353,323.1365791,0,0,0,0,56.08524958,445.5786446,0,273.0996814,0,34.78986919,0,0
g__Actinobacillus,0,0,41.09307582,211.5059222,0,0,0,0,0,0,71.9372707,0,0,0,0,0,34.73548925,0,0,0,0,0,64.76474207,0,0,0
g__Actinomyces,293.4057067,0,41.09307582,211.5059222,31.5736297,0,0,65.78730963,176.8221523,77.53440589,0,187.6524676,2215.610559,107.712193,0,30.35546247,0,197.1142474,112.1704992,0,0,5871.64315,0,1078.485945,32.4107085,50.43627377
g__Aggregatibacter,0,0,0,1410.039481,0,197.1375626,8045.567818,0,0,0,1043.090425,0,0,0,0,0,0,0,0,202.5357476,0,0,0,0,32.4107085,50.43627377
g__Akkermansia,0,0,0,0,0,0,0,0,0,77.53440589,0,0,0,0,0,0,34.73548925,0,6169.377454,0,0,0,0,0,0,0
g__Alistipes,0,744.7600809,1479.350729,282.0078962,0,0,106.7995728,0,0,116.3016088,179.8431767,0,63.30315883,8455.407152,0,0,0,0,0,0,0,0,0,0,32.4107085,151.3088213
g__Allobaculum,146.7028534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.51661356,64.76474207,0,0,0
g__Anaerostipes,0,0,1109.513047,0,0,39.42751252,0,296.0428933,1237.755066,0,0,37.53049353,0,3231.365791,0,182.1327748,138.941957,0,8412.787437,0,0,0,453.3531945,0,0,302.6176426
g__Anaerotruncus,0,212.7885945,123.2792275,0,0,39.42751252,0,0,0,0,215.8118121,0,0,484.7048686,0,0,0,0,0,40.50714951,0,0,0,0,0,50.43627377
g__Atopobium,73.35142669,0,41.09307582,176.2549351,0,0,0,0,0,116.3016088,0,75.06098705,3544.976894,0,34.61405331,60.71092493,69.4709785,0,112.1704992,0,0,91.03322713,64.76474207,2052.602282,32.4107085,151.3088213
g__Bacteroides,540453.3118,293861.049,525251.6951,498589.9605,734181.6115,693884.7928,541438.2342,438044.8012,416486.8975,595425.4701,533702.6113,239069.2438,124010.8881,351087.8931,214260.99,674650.1533,450276.1471,833438.4609,25182.27706,416372.9898,286302.46,6827.492035,641559.535,416782.6329,499384.1965,96938.51818
g__Bifidobacterium,0,0,2383.398397,0,7482.95024,39.42751252,0,0,247.5510132,310.1376236,0,0,0,807.8414477,34.61405331,91.0663874,34.73548925,20933.53308,0,0,0,0,0,278.3189535,129.642834,0
g__Bilophila,2163.867087,3085.434621,164.3723033,2608.57304,0,551.9851753,1388.394446,197.3619289,884.1107614,1240.550494,2481.835839,0,696.3347471,53.85609651,0,273.1991622,208.4129355,0,0,40.50714951,172.9924229,0,259.0589683,34.78986919,972.3212549,201.7450951
g__Blautia,1100.2714,26279.39142,3534.00452,105.7529611,2083.85956,1103.970351,391.5984336,2565.705075,5375.393429,2015.894553,13775.98734,0,3544.976894,2800.517019,69.22810661,485.6873994,2292.54229,3350.942206,114077.3976,1903.836027,449.7802996,182.0664543,1101.000615,34.78986919,1069.55338,1866.142129
g__Butyricicoccus,0,0,0,0,31.5736297,0,0,526.298477,0,0,0,0,0,0,0,0,764.1807635,1103.839786,0,0,0,0,0,0,0,0
g__Butyricimonas,0,4894.137674,328.7446065,141.0039481,0,0,1388.394446,427.6175126,35.36443046,0,0,37.53049353,0,6785.86816,0,0,451.5613602,0,0,5103.900838,0,0,0,0,32.4107085,504.3627377
g__Candidatus Solibacter,0,0,0,0,0,0,0,65.78730963,0,0,0,0,0,0,0,0,0,39.42284948,0,40.50714951,0,0,0,0,0,50.43627377
g__Christensenella,0,212.7885945,41.09307582,0,0,0,0,0,0,0,0,0,0,1615.682895,0,0,0,0,0,0,0,0,0,0,0,0
g__Clostridium,3117.435634,7660.389403,41.09307582,564.0157924,2967.921192,354.8476127,355.998576,18288.87208,19202.88574,3450.281062,1582.619955,3039.969976,66468.31677,969.4097372,9345.794393,2215.94876,19556.08045,275.9599464,4935.501963,1539.271681,8372.83327,318.6162949,2590.589683,313.1088227,5023.659817,26781.66137
g__Collinsella,256.7299934,319.1828918,2054.653791,0,0,0,0,4835.367258,1980.408106,0,0,0,0,8024.55838,207.6843198,91.0663874,5592.413769,0,0,121.5214485,138.3939383,0,32.38237104,5357.639855,615.8034615,907.8529278
g__Coprococcus,110.02714,1063.942973,3739.469899,0,0,197.1375626,35.5998576,1249.958883,176.8221523,387.6720295,35.96863535,0,0,269.2804826,0,60.71092493,903.1227205,197.1142474,448.6819966,445.5786446,34.59848459,0,64.76474207,0,194.464251,4135.774449
g__Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,1139.456859,0,0,0,0,0,392.5967471,0,0,0,0,0,0,50.43627377
g__Cronobacter,0,0,0,0,0,39.42751252,0,0,0,0,0,0,0,0,138.4562132,0,0,0,0,283.5500466,0,0,0,0,0,0
