ID,logFC,P.Value
g01,1.2914434458,2.34701624682795E-005
g02,1.2169112409,3.30053972584752E-005
g03,1.5346332526,3.88418479648718E-005
g04,-1.4791667796,5.15969467554729E-005
g05,1.7560832116,5.24302377577282E-005
g06,0.915781842,9.34790905159229E-005
g07,1.0446297946,0.0001023028
g08,-2.1220208623,0.000106209
g09,2.4072423207,0.0001152378
g10,-1.5337255458,0.0001128244
g11,-1.8760296852,0.0001252862
g12,1.0715511188,0.0001785753
g13,1.0388636968,0.0002008788
g14,0.8963135328,0.0001808129
g15,1.5423745893,0.0002524696
g16,0.8369322966,0.0002621319
g17,0.8332604846,0.0002711514
g18,-1.2601817278,0.0002757713
g19,1.1032883507,0.0003016225
g20,0.9973427691,0.000307283
g21,1.1376556095,0.0003006743
g22,1.1446110445,0.0003361233
g23,-1.2752673536,0.00033835
g24,2.0087023765,0.0003170622
g25,1.3787919166,0.0003811832
g26,-1.7118564748,0.0002887225
g27,0.942800024,0.0003837574
g28,1.9413419767,0.0003259549
g29,-1.2597367012,0.0003175481
g30,-1.2889809817,0.0004419237
g31,2.6916031327,0.0004665999
g32,1.0242728591,0.0003986143
g33,1.000755072,0.0004893455
g34,0.8312080685,0.000498316
g35,1.0008332218,0.0005035367
g36,1.1485978443,0.0004305968
g37,1.1292466649,0.0005109844
g38,-1.2870553769,0.0003841584
g39,-2.3631423796,0.0005277237
g40,1.4552910976,0.0005226455
g41,-2.4977187497,0.0005612459
g42,-0.893841218,0.0005797511
g43,0.7760632744,0.000611496
g44,-1.3488157379,0.0004333335
g45,-1.119940794,0.0005317261
g46,-1.7376429433,0.0006288755
g47,-1.2742515516,0.0005197029
g48,-1.2023175836,0.0005842393
g49,0.8386108425,0.0006851501
g50,0.8403872253,0.0007161639
g51,0.860643795,0.0007446836
g52,0.8364553736,0.0007624501
g53,1.3116497296,0.0007758047
g54,0.9051499615,0.0007784131
g55,-1.6140552635,0.0007842152
g56,-0.8208631807,0.0007929119
g57,1.1127607914,0.0007494306
g58,1.0870342431,0.000847828
g59,1.3745312307,0.0008435633
g60,1.0367355117,0.0008486181
g61,0.8001087186,0.0009465817
g62,-0.9010925355,0.000833766
g63,0.7263896076,0.0009413705
g64,-1.7749371545,0.0008219848
g65,1.1343508756,0.0009723571
g66,1.5003582476,0.0009886784
g67,0.94669073,0.0009875593
g68,3.2251298248,0.0009870357
g69,-1.797410619,0.0009056417
g70,-1.4740672457,0.0008714387
