label,text
0,PC_003249 PC_017693 PC_001708 PC_000497 PC_000513 PC_017694 PC_000411 PC_008322 PC_017695 PC_003433 PC_005151 PC_010584 PC_004598 PC_006659 PC_020773 PC_003078 PC_000554 PC_008323 PC_004879 PC_000904 PC_003845 PC_000485 PC_007030 PC_000514 PC_000515 PC_003805 PC_004324 PC_001032 PC_003609 PC_001467 PC_000516 PC_007894 PC_000517 PC_009335 PC_008324 PC_015031 PC_007430 PC_003374 PC_008325 PC_002776 PC_001413 PC_017696 PC_005155 PC_001157 PC_006320 PC_000213 PC_008326 PC_004592 PC_000336 PC_020775 PC_000370 PC_017697 PC_001710 PC_017680 PC_017698 PC_007031 PC_004077 PC_017699 PC_017700 PC_007034 PC_017674 PC_017701 PC_007895 PC_004597 PC_002267 PC_025887 PC_000469 PC_017702 PC_020777 PC_017703 PC_017704 PC_017687 PC_025888 PC_013532 PC_006655 PC_002927 PC_017705 PC_003192 PC_017706 PC_002928 PC_001804 PC_015049 PC_017707 PC_025889 PC_017708 PC_020779 PC_011288 PC_015036 PC_003244
0,PC_003459 PC_032960 PC_017841 PC_006688 PC_002438 PC_025799 PC_001280 PC_000511 PC_000719 PC_001882 PC_006303 PC_006302 PC_000900 PC_007460 PC_004869 PC_002616 PC_001521 PC_013611 PC_004859 PC_004859 PC_006359 PC_001527 PC_032958 PC_001605 PC_003220 PC_005408 PC_000899 PC_000438 PC_000013 PC_001212 PC_001731 PC_001731 PC_000231 PC_007459 PC_000244 PC_001402 PC_001608 PC_000927 PC_000023 PC_007020 PC_001080 PC_000386 PC_001794 PC_000365 PC_000828 PC_005132 PC_001040 PC_009993 PC_004351 PC_000705
0,PC_012494 PC_008942 PC_002179 PC_005452 PC_006406 PC_033533 PC_002180 PC_010786 PC_007527 PC_005209 PC_006407 PC_015535 PC_004685 PC_002181 PC_003816 PC_002904 PC_003310 PC_002319 PC_005453 PC_006408 PC_002178 PC_006749 PC_008941 PC_001745 PC_002320 PC_002526 PC_002321 PC_001438 PC_005210 PC_005211 PC_004980 PC_003259 PC_005741 PC_026718 PC_005454 PC_001828 PC_006409 PC_006052 PC_026719 PC_001128 PC_007158 PC_009452 PC_000521 PC_013613 PC_003459 PC_009453 PC_011564 PC_002674 PC_002318
0,PC_003459 PC_032960 PC_017841 PC_006688 PC_002438 PC_025799 PC_001280 PC_000511 PC_000719 PC_001882 PC_006303 PC_006302 PC_000900 PC_007460 PC_004869 PC_002616 PC_001521 PC_013611 PC_004859 PC_004859 PC_006359 PC_001527 PC_032958 PC_001605 PC_003220 PC_005408 PC_000899 PC_000438 PC_000013 PC_001212 PC_001731 PC_001731 PC_000231 PC_007459 PC_000244 PC_001402 PC_001608 PC_000927 PC_000023 PC_007020 PC_001080 PC_000386 PC_001794 PC_000365 PC_000828 PC_005132 PC_001040 PC_009993 PC_004351 PC_000705
0,PC_013604 PC_012221 PC_003093 PC_002005 PC_003271 PC_006341 PC_008345 PC_013606 PC_005311 PC_001230 PC_017836 PC_032949 PC_009364 PC_032951 PC_032952 PC_032952 PC_026090 PC_032950 PC_001625 PC_007453 PC_013605 PC_012337 PC_012338 PC_001820
1,PC_000797 PC_001404 PC_004306 PC_003217 PC_000823 PC_002758 PC_001151 PC_000577 PC_003048 PC_002606 PC_001001 PC_000012 PC_000603 PC_001083 PC_000408 PC_006637 PC_000129 PC_001343 PC_000003 PC_000003 PC_000825 PC_000047 PC_000117 PC_000198 PC_001039 PC_001982 PC_003601 PC_000151 PC_001400 PC_008819 PC_001875 PC_001081 PC_000230 PC_000604 PC_000963 PC_002612 PC_000187 PC_002125 PC_001408 PC_000932 PC_000211 PC_017717 PC_000298 PC_006651 PC_007425 PC_001791 PC_003214 PC_017686 PC_000125 PC_001530 PC_006277 PC_004577 PC_001523 PC_000050 PC_001345 PC_001006 PC_000172 PC_003382 PC_000299 PC_004305 PC_000134 PC_000674 PC_003234 PC_009320 PC_004064 PC_025860 PC_006622 PC_001141 PC_003607 PC_005653 PC_003801 PC_002614 PC_001082 PC_002920 PC_002252 PC_000367 PC_000149 PC_002916 PC_001216 PC_002258 PC_001264 PC_001265 PC_000902 PC_002905 PC_000274 PC_004867 PC_009322 PC_002435 PC_007419 PC_003380 PC_000081 PC_000632 PC_003421 PC_000137 PC_003047 PC_000437 PC_000068 PC_008808 PC_033658 PC_003380 PC_005113 PC_000718 PC_021565 PC_001401 PC_000605 PC_004855 PC_012182
1,PC_006065 PC_002882 PC_010115 PC_009469 PC_009470 PC_018213 PC_010118 PC_010119 PC_005947 PC_008963 PC_026745 PC_010100 PC_000084 PC_033670 PC_006765 PC_002183 PC_012508 PC_006428 PC_002761 PC_000985 PC_008475 PC_009471 PC_010101 PC_010120 PC_008805 PC_010121 PC_002530 PC_026746 PC_010122 PC_009890 PC_015545 PC_002836 PC_010814 PC_002938 PC_009472 PC_008845 PC_005954 PC_010123 PC_021570 PC_018216 PC_008863 PC_008972 PC_021574 PC_015250 PC_008969 PC_011593 PC_000343 PC_010124 PC_010125 PC_010816 PC_010126 PC_009473 PC_010127 PC_002031 PC_010128 PC_008970 PC_005089 PC_012509 PC_018217 PC_033677 PC_018218 PC_021575 PC_009474 PC_008973 PC_004076 PC_003026 PC_003048 PC_009397 PC_009475 PC_008838 PC_010129 PC_009476 PC_009478 PC_018219 PC_010130 PC_009479 PC_033673 PC_010131 PC_010132 PC_007022 PC_018220 PC_009338 PC_018221 PC_009939 PC_010133 PC_010134 PC_010135 PC_008312 PC_008476 PC_015558 PC_000150 PC_008253 PC_015024 PC_010097 PC_010136 PC_010137 PC_033679 PC_015559 PC_010102 PC_005471 PC_009480 PC_010138 PC_010139 PC_008477 PC_011594 PC_015560 PC_008477 PC_018222 PC_010140 PC_010099 PC_010141 PC_009481 PC_010595 PC_010817 PC_010818 PC_021576 PC_006429 PC_001654 PC_010142 PC_015561 PC_002036 PC_003677 PC_013794 PC_010819 PC_012511 PC_013545 PC_002037 PC_010103 PC_018210 PC_007886 PC_002621 PC_010104 PC_010105 PC_010810 PC_011590 PC_010106 PC_010107 PC_004876 PC_007535 PC_002529 PC_001678 PC_009893 PC_000003 PC_000047 PC_000117 PC_015552 PC_000198 PC_000512 PC_000104 PC_001704 PC_002121 PC_001400 PC_000544 PC_009308 PC_010096 PC_002968 PC_021571 PC_000785 PC_012504 PC_012505 PC_009467 PC_010108 PC_002949 PC_009889 PC_010109 PC_005752 PC_021572 PC_001792 PC_005212 PC_000173 PC_004677 PC_008311 PC_000268 PC_007994 PC_010812 PC_010813 PC_009951 PC_006065 PC_006642 PC_012506 PC_010110 PC_003047 PC_001702 PC_003383 PC_000632 PC_000081 PC_011368 PC_004049 PC_013793 PC_015047 PC_017611 PC_009468 PC_007471 PC_015555 PC_015556 PC_018211 PC_017922 PC_012507 PC_033672 PC_005754 PC_033675 PC_011591 PC_033676 PC_010111 PC_010112 PC_009902 PC_010114 PC_008971 PC_018212
1,PC_002226 PC_033065 PC_003178 PC_000739 PC_006363 PC_021037 PC_005995 PC_021069 PC_007938 PC_021465 PC_005412 PC_008351 PC_005412 PC_012433 PC_017897 PC_012471 PC_012344 PC_003274 PC_021069 PC_018070 PC_026187 PC_013643 PC_026188 PC_006696 PC_020945 PC_021043 PC_020947 PC_003790 PC_018071 PC_001953 PC_018072 PC_000852 PC_002575 PC_004519 PC_006045 PC_018073 PC_013747 PC_013748 PC_018074 PC_013427 PC_021466 PC_034560 PC_020572 PC_003641 PC_014882 PC_007366 PC_008360 PC_026492 PC_033420 PC_018063 PC_006691 PC_004057 PC_013411 PC_006971 PC_009999 PC_026383 PC_010655
1,PC_007458 PC_006357 PC_003864 PC_005168 PC_020907 PC_026500 PC_007930 PC_012340 PC_002396 PC_000521 PC_005991 PC_005703 PC_001164 PC_026797 PC_013720 PC_009868 PC_017838 PC_008745 PC_011314 PC_003092 PC_002635 PC_002457 PC_000124 PC_004910 PC_011503 PC_001857 PC_001472 PC_034537 PC_026802 PC_011559 PC_005700 PC_007455 PC_041388 PC_034538 PC_034539 PC_002000 PC_004666 PC_015754 PC_004616 PC_001768 PC_008900 PC_018019 PC_006356 PC_001958 PC_001473 PC_027281 PC_034540 PC_007457 PC_003780 PC_001500 PC_002146 PC_002001 PC_017923 PC_009991 PC_008853 PC_008450 PC_010082 PC_003632 PC_003633 PC_004112
1,PC_001767 PC_006268 PC_001873 PC_007916 PC_002757 PC_006272 PC_006618 PC_003815 PC_005355 PC_008080 PC_006271 PC_007001 PC_002756 PC_009268 PC_006266 PC_006269 PC_004559 PC_002577 PC_003210 PC_003393 PC_004289 PC_026064 PC_006267 PC_006270 PC_004288 PC_008846 PC_003211 PC_012324 PC_006674 PC_005353 PC_005925 PC_006265 PC_003813 PC_006620 PC_003394 PC_003394 PC_007819 PC_003814 PC_004047 PC_003043 PC_004558 PC_005352 PC_003812 PC_004290 PC_004560 PC_004046 PC_003044 PC_006619 PC_005111 PC_006273 PC_006616 PC_005354
